date,TotRes,UnemRt,IndPro,CPIPrc
2015-01-29,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-30,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-31,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-02-01,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-02,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-03,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-04,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-05,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-06,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-07,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-08,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-09,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-10,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-11,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-12,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-13,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-14,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-15,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-16,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-17,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-18,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-19,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-20,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-21,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-22,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-23,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-24,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-25,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-26,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-27,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-02-28,12174269.7923105,7.2751409816,1538876736341.3,114.27141473929
2015-03-01,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-02,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-03,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-04,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-05,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-06,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-07,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-08,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-09,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-10,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-11,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-12,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-13,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-14,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-15,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
2015-03-16,12044461.9390666,7.23543878385,1539008052752.74,114.65868247772
