date,symbol,high,low,open,close
2023-07-13,GOLDBLN,1963.29,1952.43,1955.43,1959.9
2023-07-14,GOLDBLN,1963.59,1950.8,1958.85,1959.25
2023-07-15,GOLDBLN,1963.59,1950.8,1958.85,1959.25
2023-07-16,GOLDBLN,1963.59,1950.8,1958.85,1959.25
2023-07-17,GOLDBLN,1959.69,1945.65,1954.06,1953.35
2023-07-18,GOLDBLN,1984.19,1953.99,1959.25,1982.75
2023-07-19,GOLDBLN,1980.79,1969.59,1978.2,1976.05
2023-07-20,GOLDBLN,1987.39,1965.59,1980.8,1970.1
2023-07-21,GOLDBLN,1973.69,1956.65,1969.4,1960.65
2023-07-22,GOLDBLN,1973.69,1956.65,1969.4,1960.65
2023-07-23,GOLDBLN,1973.69,1956.65,1969.4,1960.65
2023-07-24,GOLDBLN,1967.69,1957.01,1960.1,1960.6
2023-07-25,GOLDBLN,1964.94,1952.92,1962.65,1962.04
2023-07-26,GOLDBLN,1974.09,1961.79,1965.15,1970.95
2023-07-27,GOLDBLN,1981.99,1942.47,1975.76,1945.01
2023-07-28,GOLDBLN,1961.99,1941.99,1952.7,1960.75
2023-07-29,GOLDBLN,1961.99,1941.99,1952.7,1960.75
2023-07-30,GOLDBLN,1961.99,1941.99,1952.7,1960.75
2023-07-31,GOLDBLN,1972.19,1950.3,1955.15,1968.4
2023-08-01,GOLDBLN,1965.89,1942.53,1959.0,1943.1
2023-08-02,GOLDBLN,1954.69,1933.0,1949.15,1934.6
2023-08-03,GOLDBLN,1938.79,1929.19,1935.25,1936.25
2023-08-04,GOLDBLN,1946.69,1928.9,1936.3,1939.75
2023-08-05,GOLDBLN,1946.69,1928.9,1936.3,1939.75
2023-08-06,GOLDBLN,1946.69,1928.9,1936.3,1939.75
2023-08-07,GOLDBLN,1946.49,1931.25,1936.66,1934.3
2023-08-08,GOLDBLN,1937.89,1922.0,1933.95,1927.5
2023-08-09,GOLDBLN,1932.19,1916.0,1931.2,1917.56
2023-08-10,GOLDBLN,1929.89,1912.83,1918.6,1913.85
2023-08-11,GOLDBLN,1920.79,1910.69,1915.75,1917.85
2023-08-12,GOLDBLN,1920.79,1910.69,1915.75,1917.85
2023-08-13,GOLDBLN,1920.79,1910.69,1915.75,1917.85
2023-08-14,GOLDBLN,1915.99,1901.5,1913.0,1908.65
2023-08-15,GOLDBLN,1911.39,1895.5,1905.3,1908.2
2023-08-16,GOLDBLN,1907.09,1898.6,1905.1,1903.9
2023-08-17,GOLDBLN,1903.29,1888.3,1893.47,1895.25
2023-08-18,GOLDBLN,1896.69,1887.7,1893.75,1892.45
2023-08-19,GOLDBLN,1896.69,1887.7,1893.75,1892.45
2023-08-20,GOLDBLN,1896.69,1887.7,1893.75,1892.45
2023-08-21,GOLDBLN,1898.49,1884.0,1887.95,1888.35
2023-08-22,GOLDBLN,1904.29,1887.8,1895.5,1897.05
2023-08-23,GOLDBLN,1918.79,1896.59,1902.65,1917.1
2023-08-24,GOLDBLN,1923.19,1910.6,1921.45,1921.15
2023-08-25,GOLDBLN,1922.29,1902.7,1914.45,1905.05
2023-08-26,GOLDBLN,1922.29,1902.7,1914.45,1905.05
2023-08-27,GOLDBLN,1922.29,1902.7,1914.45,1905.05
2023-08-28,GOLDBLN,1919.79,1912.67,1915.72,1919.29
2023-08-29,GOLDBLN,1934.89,1913.3,1924.47,1934.7
2023-08-30,GOLDBLN,1948.79,1934.69,1935.41,1945.6
2023-08-31,GOLDBLN,1947.69,1939.7,1945.43,1942.45
2023-09-01,GOLDBLN,1952.79,1934.39,1939.79,1939.25
2023-09-02,GOLDBLN,1952.79,1934.39,1939.79,1939.25
2023-09-03,GOLDBLN,1952.79,1934.39,1939.79,1939.25
2023-09-04,GOLDBLN,1946.09,1935.4,1944.54,1938.39
2023-09-05,GOLDBLN,1938.89,1924.9,1937.05,1928.8
2023-09-06,GOLDBLN,1928.99,1914.0,1928.3,1916.7
2023-09-07,GOLDBLN,1923.49,1915.7,1917.52,1917.8
2023-09-08,GOLDBLN,1929.49,1918.66,1925.8,1921.95
2023-09-09,GOLDBLN,1929.49,1918.66,1925.8,1921.95
2023-09-10,GOLDBLN,1929.49,1918.66,1925.8,1921.95
2023-09-11,GOLDBLN,1930.49,1915.99,1927.7,1921.9
2023-09-12,GOLDBLN,1924.39,1906.5,1920.2,1912.97
2023-09-13,GOLDBLN,1915.59,1905.1,1910.26,1912.47
2023-09-14,GOLDBLN,1912.79,1900.81,1908.05,1911.2
2023-09-15,GOLDBLN,1930.29,1909.49,1916.3,1928.05
2023-09-16,GOLDBLN,1930.29,1909.49,1916.3,1928.05
2023-09-17,GOLDBLN,1930.29,1909.49,1916.3,1928.05
2023-09-18,GOLDBLN,1930.49,1921.4,1929.94,1926.85
2023-09-19,GOLDBLN,1937.29,1929.43,1930.96,1933.7
2023-09-20,GOLDBLN,1945.49,1927.61,1931.16,1945.35
2023-09-21,GOLDBLN,1931.39,1912.7,1928.79,1919.86
2023-09-22,GOLDBLN,1928.89,1918.95,1924.75,1927.45
2023-09-23,GOLDBLN,1928.89,1918.95,1924.75,1927.45
2023-09-24,GOLDBLN,1928.89,1918.95,1924.75,1927.45
2023-09-25,GOLDBLN,1926.99,1914.96,1921.83,1917.05
2023-09-26,GOLDBLN,1916.59,1900.69,1913.64,1904.15
2023-09-27,GOLDBLN,1903.79,1882.66,1896.4,1883.4
2023-09-28,GOLDBLN,1879.39,1859.66,1877.12,1860.09
2023-09-29,GOLDBLN,1879.69,1856.06,1867.47,1856.75
2023-09-30,GOLDBLN,1879.69,1856.06,1867.47,1856.75
2023-10-01,GOLDBLN,1879.69,1856.06,1867.47,1856.75
2023-10-02,GOLDBLN,1848.79,1825.9,1839.55,1830.35
2023-10-03,GOLDBLN,1833.19,1813.9,1819.25,1825.55
2023-10-04,GOLDBLN,1830.39,1815.5,1821.28,1823.0
2023-10-05,GOLDBLN,1829.09,1811.9,1826.29,1818.4
2023-10-06,GOLDBLN,1831.29,1809.5,1821.45,1829.8
2023-10-07,GOLDBLN,1831.29,1809.5,1821.45,1829.8
2023-10-08,GOLDBLN,1831.29,1809.5,1821.45,1829.8
2023-10-09,GOLDBLN,1854.29,1832.15,1851.86,1852.3
2023-10-10,GOLDBLN,1865.19,1852.1,1860.85,1858.25
2023-10-11,GOLDBLN,1874.89,1858.39,1859.47,1870.51
2023-10-12,GOLDBLN,1884.79,1870.48,1880.13,1873.05
2023-10-13,GOLDBLN,1920.89,1868.39,1877.15,1919.3
2023-10-14,GOLDBLN,1920.89,1868.39,1877.15,1919.3
2023-10-15,GOLDBLN,1920.89,1868.39,1877.15,1919.3
2023-10-16,GOLDBLN,1928.59,1906.9,1915.0,1920.9
2023-10-17,GOLDBLN,1931.29,1911.1,1916.45,1926.15
2023-10-18,GOLDBLN,1962.39,1922.49,1937.2,1941.4
2023-10-19,GOLDBLN,1956.99,1944.87,1946.87,1954.55
2023-10-20,GOLDBLN,1993.79,1971.65,1977.67,1993.85
2023-10-21,GOLDBLN,1993.79,1971.65,1977.67,1993.85
2023-10-22,GOLDBLN,1993.79,1971.65,1977.67,1993.85
2023-10-23,GOLDBLN,1982.69,1964.12,1975.74,1977.45
2023-10-24,GOLDBLN,1980.79,1953.1,1976.45,1961.75
2023-10-25,GOLDBLN,1986.99,1963.09,1972.9,1975.25
2023-10-26,GOLDBLN,1993.29,1971.1,1985.85,1980.25
2023-10-27,GOLDBLN,1989.79,1975.7,1989.01,1981.9
2023-10-28,GOLDBLN,1989.79,1975.7,1989.01,1981.9
2023-10-29,GOLDBLN,1989.79,1975.7,1989.01,1981.9
2023-10-30,GOLDBLN,2006.69,1989.8,1995.49,1997.8
2023-10-31,GOLDBLN,2007.59,1990.58,1993.09,1995.9
2023-11-01,GOLDBLN,1991.89,1975.03,1979.12,1985.15
2023-11-02,GOLDBLN,1990.89,1980.47,1985.4,1983.85
2023-11-03,GOLDBLN,2003.69,1983.02,1987.1,1995.41
2023-11-04,GOLDBLN,2003.69,1983.02,1987.1,1995.41
2023-11-05,GOLDBLN,2003.69,1983.02,1987.1,1995.41
2023-11-06,GOLDBLN,1992.99,1980.9,1984.3,1984.05
2023-11-07,GOLDBLN,1978.29,1955.5,1971.19,1963.85
2023-11-08,GOLDBLN,1970.89,1957.1,1967.32,1958.4
2023-11-09,GOLDBLN,1960.79,1943.6,1949.35,1959.85
2023-11-10,GOLDBLN,1960.69,1940.68,1957.09,1946.7
2023-11-11,GOLDBLN,1960.69,1940.68,1957.09,1946.7
2023-11-12,GOLDBLN,1960.69,1940.68,1957.09,1946.7
2023-11-13,GOLDBLN,1941.98,1931.55,1938.78,1935.95
2023-11-14,GOLDBLN,1970.59,1942.8,1944.54,1968.7
2023-11-15,GOLDBLN,1975.19,1955.21,1967.0,1958.4
2023-11-16,GOLDBLN,1983.09,1956.29,1962.95,1982.65
2023-11-17,GOLDBLN,1993.29,1979.21,1984.46,1980.95
2023-11-18,GOLDBLN,1993.29,1979.21,1984.46,1980.95
2023-11-19,GOLDBLN,1993.29,1979.21,1984.46,1980.95
2023-11-20,GOLDBLN,1984.99,1964.7,1980.1,1974.4
2023-11-21,GOLDBLN,2007.29,1977.07,1990.85,2002.55
2023-11-22,GOLDBLN,2006.19,1989.8,2000.95,1994.25
2023-11-23,GOLDBLN,1998.49,1988.26,1996.23,1990.41
2023-11-24,GOLDBLN,2003.49,1991.1,1993.64,1998.85
2023-11-25,GOLDBLN,2003.49,1991.1,1993.64,1998.85
2023-11-26,GOLDBLN,2003.49,1991.1,1993.64,1998.85
2023-11-27,GOLDBLN,2017.82,2000.19,2009.69,2008.95
2023-11-28,GOLDBLN,2035.19,2011.3,2016.0,2034.55
2023-11-29,GOLDBLN,2051.89,2034.5,2044.8,2041.44
2023-11-30,GOLDBLN,2046.99,2031.59,2045.6,2037.8
2023-12-01,GOLDBLN,2056.69,2033.4,2040.45,2056.15
2023-12-02,GOLDBLN,2056.69,2033.4,2040.45,2056.15
2023-12-03,GOLDBLN,2056.69,2033.4,2040.45,2056.15
2023-12-04,GOLDBLN,2135.4,2020.09,2076.5,2026.45
2023-12-05,GOLDBLN,2041.09,2009.83,2033.54,2016.3
2023-12-06,GOLDBLN,2035.69,2017.03,2026.35,2029.2
2023-12-07,GOLDBLN,2039.69,2024.24,2029.5,2030.0
2023-12-08,GOLDBLN,2033.99,2002.39,2030.4,2004.2
2023-12-09,GOLDBLN,2033.99,2002.39,2030.4,2004.2
2023-12-10,GOLDBLN,2033.99,2002.39,2030.4,2004.2
2023-12-11,GOLDBLN,2008.34,1980.4,1998.95,1982.35
2023-12-12,GOLDBLN,1996.29,1979.1,1987.85,1983.19
2023-12-13,GOLDBLN,1986.69,1972.78,1974.45,1982.05
2023-12-14,GOLDBLN,2047.79,2023.79,2035.33,2040.25
2023-12-15,GOLDBLN,2044.79,2026.2,2036.1,2035.25
2023-12-16,GOLDBLN,2044.79,2026.2,2036.1,2035.25
2023-12-17,GOLDBLN,2044.79,2026.2,2036.1,2035.25
2023-12-18,GOLDBLN,2027.29,2015.79,2023.25,2022.4
2023-12-19,GOLDBLN,2045.29,2021.47,2024.85,2043.8
2023-12-20,GOLDBLN,2043.29,2029.49,2041.18,2034.65
2023-12-21,GOLDBLN,2045.89,2029.29,2037.05,2042.65
2023-12-22,GOLDBLN,2070.39,2045.39,2047.8,2061.35
2023-12-23,GOLDBLN,2070.39,2045.39,2047.8,2061.35
2023-12-24,GOLDBLN,2070.39,2045.39,2047.8,2061.35
2023-12-25,GOLDBLN,2070.39,2045.39,2047.8,2061.35
2023-12-26,GOLDBLN,2065.01,2053.19,2064.11,2057.6
2023-12-27,GOLDBLN,2081.79,2060.3,2065.2,2078.95
2023-12-28,GOLDBLN,2088.29,2071.29,2085.85,2075.2
2023-12-29,GOLDBLN,2074.59,2057.0,2072.9,2065.45
