date,UnemRt,TotRes,IndPro,CPIPrc
2015-02-26,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-27,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-28,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-03-01,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-02,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-03,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-04,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-05,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-06,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-07,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-08,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-09,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-10,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-11,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-12,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-13,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-14,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-15,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
2015-03-16,7.2353815178,12044461.9390666,1539014830382.52,114.65868247772
