symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_InvSIX,stderr_InvSIX,tval_InvSIX,pval_InvSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
MKR,2713,2713,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004210375163278934,0.0008575481436265964,17268.364556815424,17327.31146531968,-8624.182278407712,0.7698425514940519,0.6445453798918369,2.2304952107526996,0.0132486670383095,0.11574219997390454,0.11446704003636159,0.9088761699176432,-0.2729852116986654,0.2634799474006645,-1.036075854697005,0.30026047470911155,0.03151822945042671,0.12811965140777903,0.24600620673022702,0.8056963157164284,0.019259482870051386,0.19408711284647745,0.09923112661934233,0.9209622022540503,0.07406603439223086,0.13271829818398226,0.5580695006317514,0.5768436635094675,0.04626453515557161,0.19272880388588348,0.24004992623191534,0.8103099592297185,0.5690503818741047,0.29083662460291426,1.9565980820023678,0.05049871745932727,0.34783143811075673,0.3790810155766981,0.917564910449548,0.35892947638378536,0.29987277105724847,0.23455532069699075,1.2784735394881013,0.20119350322484358,-0.26711949390839457,0.20516905941602992,-1.3019482307356351,0.1930462651688023
NEO,2877,2877,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003811233781831569,0.0006509592326726654,18390.094878667005,18449.635089539785,-9185.047439333503,1.2651905797972711,0.2506900300910795,2.015940530389243,0.013363372893538769,0.11361211572697517,0.1176227800004421,0.906374880784492,-0.235240883965259,0.14496866826660676,-1.622701558743961,0.10476432543107952,0.10299213637339154,0.10534298049495071,0.9776839034692791,0.32831404515887197,0.1129094601364937,0.13477808027047536,0.8377434959001102,0.4022453481076863,-0.1024387388081339,0.11941778605595764,-0.8578181039140386,0.3910653727660425,-0.056841651716755676,0.1249828553568266,-0.4547955921992061,0.6492910992090637,0.3819281923622907,0.2531167885627134,1.5089010670963943,0.13143542022207627,-0.01650348215169667,0.3151205200675442,-0.05237196913790078,0.9582359960240023,0.3524462848871598,0.23813973254293894,1.4799978194466572,0.13898486263173246,-0.2489160591969792,0.2194126202845484,-1.1344655511345194,0.2566951608097379
OMG,2877,2877,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00879167605164477,0.005647201284096126,19086.634198820637,19146.174409693416,-9533.317099410318,2.468519828120084,0.008393248166318352,1.9819145674791425,-0.015464792566939691,0.1292231987821686,-0.11967504838669622,0.9047490404382114,-0.3636156677402549,0.18742583999574983,-1.9400508902534488,0.052472484010124644,-0.07281885587330894,0.116076197143456,-0.6273366776765932,0.5304890505903584,-0.2716465745716935,0.34479872681222473,-0.7878410024397525,0.4308555324052028,0.20502738067292706,0.17036367310646586,1.203468890605562,0.22889533434495912,-0.10111599764467698,0.35200520140137515,-0.2872571122305068,0.7739364379637883,0.28276802346393437,0.31627098707404516,0.8940688049825225,0.371360918245181,-0.5176659018523596,0.38235043997163265,-1.3539042923313134,0.1758747544746252,0.4599588196615506,0.29350667746443265,1.567115350270996,0.1171992565841945,-0.021417834241714603,0.262994071015575,-0.08143846801947942,0.9350990022645054
PAX,2374,2374,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0005217693504585563,-0.003332259816570593,573.6884067211922,631.2845482281613,-276.8442033605961,0.07193220365912881,0.9999077923025047,2.887751974986748,4.7487396679380886e-05,0.0056649132909828625,0.008382722601415461,0.9933123497920808,-0.004062087429116495,0.010278002270092405,-0.3952214956146312,0.6927155468059086,0.000717613164896699,0.00618244025802544,0.11607280215367446,0.9076048293949386,-0.00645134240496399,0.015128258856195205,-0.4264431529291348,0.6698242893936437,-0.0035568830595627448,0.00826534313319388,-0.43033701108889116,0.666990239451146,0.008351473455410229,0.016413672472882942,0.5088119961701266,0.6109321025474288,-0.0008549490269308766,0.00873579193391101,-0.09786737520751781,0.9220460097768113,-0.0009943427289022624,0.008580990599491129,-0.11587738238068097,0.90775968970535,0.00012829182360063127,0.011724552657695446,0.010942150830498982,0.9912705361640288,3.775715273380588e-06,0.010672180236313049,0.0003537904336110609,0.9997177463155998
PAXG,1932,1932,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003956775785101119,-0.000781273378712033,5371.135832685386,5426.642445116439,-2675.567916342693,0.7804299504068982,0.6346389692223278,2.3619915652137524,0.040191190255466476,0.02218590181191066,1.8115644158259794,0.07021202922651683,-0.008609186700751385,0.011854945613737825,-0.7262105606604244,0.46779952544081926,-0.0006883390026149669,0.025807611013346995,-0.026671938067377745,0.9787242081470435,-0.0418753644893221,0.04644457306731529,-0.9016201834524192,0.36737342399926765,0.009918408122530356,0.04048755365529867,0.24497425077774038,0.8065029350452095,0.058064201100407664,0.06343785098182952,0.9152926872796963,0.36015463416149784,0.025095614243529414,0.12647865245809983,0.19841778636788648,0.8427395198176584,-0.07323454218971197,0.09173253324573824,-0.7983486294172993,0.4247684003352149,0.10337690548197752,0.07769393207609285,1.3305660135817423,0.1834921912596388,0.027397130100620542,0.02514958739292973,1.089366981357422,0.2761308168084802
PAY,2797,2797,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004764840498521994,0.0015159770833921282,19006.266430766434,19065.521620564305,-9493.133215383217,0.7754197867445168,0.6393263367510064,2.160176523183515,-0.23539484829123392,0.14125641742369394,-1.666436488936109,0.09574010038645396,-0.3810903128384376,0.3124131273020741,-1.2198281043099675,0.22263438139427436,-0.01389445507151229,0.15615314383088938,-0.08897966912891421,0.9291045304940124,-0.23277851360756116,0.3187393063961876,-0.7303100337371676,0.46526274699604764,-0.21252612661145356,0.18452526598274982,-1.1517454017994553,0.24952557479845908,0.25361707425365926,0.33615207570573896,0.7544712425803098,0.45063074371298184,0.44194743732492386,0.33544264337634955,1.317505230928798,0.1877788035129702,0.013177017996948315,0.4204355468862228,0.031341350878959444,0.9749995819418208,0.4421080120854538,0.33954282734220065,1.302068477034519,0.19300174786864982,-0.1270519158490306,0.3082767135603406,-0.4121359488418255,0.6802718221539554
PERP,1577,1577,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0068511165652357375,0.001035670923782872,10410.276397681759,10463.71712618749,-5195.138198840879,1.5090245318079134,0.13916497803525,2.0044637581972,-0.18909095824448618,0.18647502078886616,-1.014028353205451,0.3107288203196137,0.10211373094947762,0.08061826402452046,1.2666327188392348,0.20547855885497568,0.1828891087009594,0.2306510021039966,0.7929257060782151,0.4279434869359303,0.08239301088547575,0.30638210875277655,0.2689223963529792,0.7880254942545816,-0.8208770945696089,0.3108735515419359,-2.640549800708521,0.008360988259343989,0.5586282347855371,0.44323879664210425,1.2603324416039436,0.20774076766367003,0.3769479611300518,0.6161730131962078,0.6117566869323768,0.5407892265841651,-0.16016787212722294,0.7522140970063343,-0.21292857015663477,0.8314109143742728,0.495191231635484,0.9054884457819695,0.5468774714268634,0.5845422997344399,-0.16540854511449554,0.20479824463983848,-0.8076658342720939,0.4194079516998531
POLY,2542,2542,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.03983110041895921,0.03637725545643755,17500.742277848913,17559.030623124792,-8740.371138924456,6.110049867825523,1.5360905964941863e-08,2.0207230624244295,-0.11783160374127098,0.15827117157558637,-0.7444918905209313,0.45664886305991814,-1.585671108793296,0.24490872932230084,-6.474538956537342,1.1407099749874135e-10,-0.1426882192171038,0.16239884875379523,-0.8786282680699682,0.37968723278848715,-0.17136654284088942,0.33460119583172326,-0.5121516150440557,0.6085901063213934,0.26802864768601586,0.19457555146267277,1.3775042428053161,0.16847960888271998,-0.050437802125713575,0.3672710759968164,-0.13733126680019525,0.8907800071560875,0.5862965527257853,0.3831800360648471,1.530081156489489,0.12612305654965722,-0.0034941386633449145,0.4516671532850142,-0.007736092026909069,0.9938281699230915,0.29387275145529657,0.33706143988398307,0.8718670149764028,0.3833645845665187,0.09256785444733324,0.3095825862800409,0.29900859592793316,0.7649583198062068
POWR,2767,2767,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.002299334302769629,-0.0009934071681783063,18366.687650308457,18425.833827398863,-9173.343825154228,0.6734514669919927,0.7336869288402673,1.9779835086533823,0.017008527728123488,0.1307547711864521,0.1300795953661215,0.8965130474187646,-0.08567146927303537,0.25053157092842054,-0.3419587757165846,0.7324082663915028,0.06512186092471398,0.12547938024718605,0.5189845598251142,0.6038136214818437,-0.3464020919453037,0.2765639185123569,-1.252520913822048,0.21048751307111557,-0.30178876948243083,0.21308233505108584,-1.4163012124401484,0.15680154489488407,0.4740529956444191,0.3060880364522653,1.5487472203715094,0.12155853497655641,0.1189811540361527,0.3250114908925187,0.3660829151283755,0.7143316025795542,-0.2141756985545573,0.42849401085175504,-0.4998335872392277,0.6172325857763814,0.14425949648673297,0.3035645272229697,0.4752185566819328,0.6346692607908848,0.12749176326711298,0.2989158100311273,0.4265139513826209,0.6697670499932558
PPT,1818,1818,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.015774497749220462,0.010875145138458775,13023.588987773328,13078.643910520703,-6501.794493886664,2.5670914122483817,0.00619222489130392,1.9827551999839441,-0.22554045745941975,0.20339971478971325,-1.1088533614346359,0.2676409203800887,-0.8753823664599502,0.28672759738371284,-3.0530105035144937,0.0022986047905083776,-0.023776929025697544,0.24086520697183442,-0.09871466836004214,0.9213757648888108,-0.8150855453429897,0.4187075701212323,-1.946670190622516,0.051728979173041756,-0.007534025192621807,0.2931880026030958,-0.02569690821496887,0.9795019257321196,0.757178948496955,0.4650948566159571,1.6280097225890857,0.10369705472997177,0.6865463472743173,0.33126355129189217,2.0725079610988306,0.03835951626634729,0.45663245507524086,0.34796471684953756,1.3122952786983055,0.18958709740855617,-0.3102242164257457,0.460244113389129,-0.6740427686110482,0.5003702885004655,-0.2786126240173471,0.4752537769530617,-0.586239683992799,0.5577876356731433
QASH,2593,2593,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01811001021552594,0.01468879073892504,17979.992896540083,18038.59860439547,-8979.996448270042,1.3975824592478538,0.18331204187382588,2.0577228860308927,-0.09739834611317084,0.15196223754337707,-0.6409378256579622,0.52161993845936,-1.0047297345820958,0.5171125822076305,-1.9429612992450411,0.05212935408595005,-0.04899690808178613,0.16572436351392117,-0.29565301711157455,0.7675188452342558,0.5606256328064662,0.4166532864595784,1.345544727536561,0.17856748739006276,0.14433632352878062,0.16543397021092734,0.8724708918292455,0.38303263435456836,-0.5902464684607467,0.47919721071689203,-1.2317402006111888,0.21815827009126332,0.34152915026093034,0.2648373423882836,1.289580793935801,0.1973117030509986,0.22333512494052,0.31694563494011574,0.7046480541772324,0.48109281300432416,0.1448081076458989,0.28791089347159227,0.5029615444550274,0.615034191272416,-0.13743915255966088,0.2957966177071979,-0.4646407170744213,0.6422279304780275
QNT,2268,2268,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004783455362317612,0.0007632808103701372,14373.55313112227,14430.686510010988,-7176.776565561135,0.9797887471969638,0.4545699881210855,2.1328850254176586,0.1458615418385163,0.12521194333185948,1.164917163308675,0.24417723422057697,-0.14789624271406304,0.21788494068208725,-0.678781389163817,0.4973468866893612,-0.12028656243927259,0.11500671997301883,-1.0459089909484631,0.29571650874764777,0.29060479745067086,0.3875165461551405,0.7499158431659033,0.45338457007319644,0.2681463186972515,0.18227076329358116,1.4711427869830755,0.1413937229207198,-0.2603819606493482,0.4068312377670391,-0.6400245027360679,0.5222224781884632,0.41677259149552714,0.3425077360640491,1.2168267972131015,0.22379900247823217,0.20128033396173153,0.3811177443341151,0.5281316258664535,0.5974605776869383,0.047734961562670986,0.2849858887588676,0.16749938662071973,0.8669923313124044,-0.09330824796446063,0.21188888521386096,-0.4403640515182472,0.659716175258789
