symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_ConSIX,stderr_diff_ConSIX,tval_diff_ConSIX,pval_diff_ConSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
ETC,3232,3232,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.06470149371266831,0.06206437386411379,20876.446777541758,20937.162086477325,-10428.223388770879,1.3843881685699349,0.18917039735710398,1.9019420830110447,0.10816973788337828,0.11056350106814675,0.9783494266946824,0.327975673072884,-0.4792864970624313,0.30447349788374195,-1.5741484904063432,0.11555222726304315,1.558165648586908,0.993550545644629,1.5682802001542349,0.11691487412047895,-0.0360932409386151,0.09550959199815715,-0.37790173932804066,0.7055287172725274,0.09965308912964355,0.11781554533372578,0.8458399003914548,0.39770546418159325,0.13556788052571755,0.10343233415246686,1.3106914934925527,0.19005630637034054,0.3507039941736847,0.27837507245042475,1.2598254257702648,0.20782444706743372,0.0544843274317694,0.4500890201328487,0.12105233630379998,0.9036572007666501,0.22981700193898624,0.24296261552070197,0.94589450087396,0.3442739941675834,-0.16848408579093932,0.26904648722286173,-0.6262266700823986,0.531211053620054
ETH,3584,3584,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005466577463851929,0.0029409564698267276,22204.763730049042,22266.522020136188,-11092.381865024521,2.3334401846769754,0.012830807118550946,2.0128524821679536,0.21321308350689175,0.09178168528308639,2.3230460723102766,0.02023300686274082,-0.24574896052583428,0.15812610568079752,-1.5541327566867251,0.12024204346861601,-0.18378797395206942,0.0950326907676125,-1.9339447559313456,0.0531994449222407,-0.008270696382828492,0.08353457652398588,-0.09900925732775659,0.9211365195073085,0.06620257903112658,0.11278412123691062,0.5869849257597497,0.5572512204621979,0.05202359750932216,0.15663264417317865,0.3321376446394087,0.7398049674503229,0.4880208609847059,0.2138934982351724,2.281606804373899,0.022571608976635182,0.07458831586563651,0.36760785005627855,0.20290185820084497,0.8392233895033209,0.40036263938734656,0.2053133656527446,1.950007677846445,0.05125394987266878,-0.3681429909554424,0.24429259335704748,-1.5069756552847287,0.13190602455722225
FTT,2111,2111,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006081471315977471,0.001762173026186864,14105.879760065241,14162.285798329178,-7042.939880032621,0.8653818501810115,0.5557504453292863,1.975644514369854,-0.0167733551654254,0.15692974993359976,-0.10688448284995392,0.9148909759510437,0.426102976587875,0.9606815751910418,0.44354236366315225,0.6574198161781801,-0.2790846618241606,0.28622620610577526,-0.9750492997172471,0.3296496798214359,-0.06915147677908545,0.34360346426694793,-0.20125372404674358,0.8405199485986594,-0.09606722199821668,0.2636740892612097,-0.36434077488382766,0.7156407502912501,-0.09504949637283967,0.3012843874822469,-0.31548098846788214,0.7524282698513487,0.30298028063365706,0.24969783065870818,1.2133877168031002,0.22511998905221972,0.0369677356632129,0.2865430935131884,0.12901283087987403,0.8973600235095373,-0.04662263500988828,0.236083857563936,-0.19748336667729172,0.8434686764477071,0.10026621790360211,0.18986767989222858,0.5280847059410773,0.5974971226301078
FUN,2828,2828,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01043976057536089,0.007245340864162286,18644.988604682083,18704.355206234337,-9312.494302341041,1.7605505060244189,0.0707387394747714,2.051323032137706,-0.059686044141664826,0.12781565540004977,-0.4669697460366157,0.6405580132894471,-0.5878422898927441,0.24477344126427272,-2.4015770945430015,0.016389641996295015,-0.4368026134862669,0.17756242744703163,-2.459994604526168,0.01395417612090234,-0.025849589632128155,0.20057510768141118,-0.12887735637259157,0.8974639901291469,-0.2829925798930808,0.15744834232069427,-1.7973677951888198,0.07238542613291075,0.24072520272094194,0.23994511225209225,1.0032511204813797,0.31582677743269116,0.6275274338796463,0.3238726013190447,1.9375749332419547,0.05277597306522706,0.30383247104725886,0.3924833885345989,0.7741282304498726,0.438920603367269,0.34859731213566303,0.2636765317663928,1.3220642345391087,0.186255217627804,-0.17255092966231161,0.22819122997489674,-0.756168103749184,0.4496122999172223
GAS,2853,2853,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.028488521379710807,0.025380237231974356,19146.007961198895,19205.46351548143,-9563.003980599447,2.7144105620659427,0.0037747328819137164,2.1608887213830084,-0.03564251141284719,0.13464687791261026,-0.2647110127275303,0.7912514867490988,0.8251937671137367,0.3396000687934108,2.4298987042188367,0.015165218303830295,0.44272326471678697,0.20804385002175704,2.1280286087307427,0.03342142186335456,-0.19538368077913337,0.1409735581342918,-1.385959774052169,0.1658690426559572,-0.27413869830412674,0.13705891238430012,-2.0001522960832196,0.0455797940177066,-0.2627695287868462,0.13537606791669754,-1.9410338387767259,0.05235393629730595,0.34071835708385195,0.30407625455713944,1.1205030053401523,0.2625951250903279,-0.03248060853223961,0.3771904721664387,-0.0861119538510168,0.9313835496040537,0.35308927943332147,0.2454948931839924,1.4382754559732929,0.1504671538140679,-0.03842399654483106,0.2362186110850354,-0.1626628671142214,0.8707955688370622
GNO,2951,2951,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008128314958465999,0.005061724382933952,18466.65395578068,18526.450768804556,-9223.32697789034,6.159991331004566,1.2262594376393146e-08,2.008480776814957,0.013621821581379662,0.10483608858620758,0.1299344697525445,0.8966272498846368,-0.3505913494507882,0.1337705086381535,-2.620841865819099,0.00881691017500167,-0.009728369934376951,0.12397678428161758,-0.07846928754240488,0.9374601530773107,-0.16814341436614916,0.17562812028968422,-0.9573832145376854,0.33845337020465616,0.13902543058462657,0.13570412412337268,1.0244746169853645,0.3056962781401442,0.11060802999572188,0.20194813476291987,0.5477051329321356,0.5839363781979704,0.4351500572802615,0.25923271306544055,1.6786078120102554,0.09333583317278589,-0.1421958936140333,0.3023827106071278,-0.4702514020346289,0.6382106420342541,0.3838836385613143,0.23930180499030304,1.6041819600018061,0.10878242934492863,0.036199571921282425,0.22923414407341405,0.15791527072724917,0.8745345175518108
GNT,3023,3023,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0050026087019396925,0.002000605174724557,19956.75748324393,20016.79779832246,-9968.378741621966,1.951526616575601,0.04099792372087607,2.0872135911137635,0.08311528147774072,0.12368699462667937,0.671980766681291,0.5016479806319726,-0.02684831855360975,0.1874969312106558,-0.1431933759142182,0.8861471326631409,-0.29694010163672724,0.1563432287844045,-1.8992834160167194,0.05762360246610988,-0.30907032049263955,0.15296297021032104,-2.0205564789156094,0.0434148905058761,-0.14868297091846552,0.12874905457499344,-1.1548276716227148,0.24825350325882112,0.17095350509544732,0.1541912209207007,1.1087110152877466,0.26764424782842666,0.4815153812418703,0.2983543422411168,1.613904385050749,0.1066539352762969,0.029732384979375803,0.3498498376457993,0.08498613342069906,0.9322781178860001,0.42676846140488744,0.27745670527636185,1.5381443421228658,0.12411938614619869,-0.25947633267291237,0.2835300349902926,-0.9151634770608913,0.3601797855769898
GUSD,2449,2449,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.1562801197074818,0.1531279906403864,8117.8475487300275,8175.758643836128,-4048.9237743650137,2.0284810913558817,0.03277149229388895,2.702368413847789,-0.009829562692170338,0.026047019330764944,-0.3773776403106645,0.7059262235090542,0.29650219855414933,0.2686894603010949,1.1035125762725762,0.2699148516961188,0.2988518487475624,0.1621664015622517,1.8428715558126292,0.06547055866809935,-0.0605898116823968,0.06742359699981304,-0.8986440115700859,0.36893211758873046,0.01542084193367854,0.050782698963375714,0.3036632996761356,0.7614106447626021,0.06357090307783225,0.047910529693303054,1.3268670474899427,0.18467841993973402,0.012735894407634271,0.053831691929554316,0.23658729553402902,0.8129970916467447,-0.03749678590635949,0.08789311007359617,-0.4266180349627182,0.6696956795851936,0.041696230741311804,0.06411471327712485,0.6503379428850753,0.5155359680929292,0.04320226208569222,0.04075330149246297,1.0600923238987685,0.28920887284216806
HEDG,817,817,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.022471097904510073,0.011569288587460091,6331.882905900054,6378.939296848654,-3155.941452950027,1.5289666729979317,0.13326156979713136,2.0228588693237812,-0.033959725804651286,0.405449507756135,-0.08375821194750836,0.9332694452872203,-1.6791048028949458,0.6088075615146824,-2.758022253727299,0.005946727395656088,-0.21272634757459574,0.29897953195135396,-0.7115080627298854,0.4769750684837827,0.30937837688679903,0.792905828135921,0.39018300270806555,0.6965041929784996,0.6356293174626237,0.49247535768064693,1.2906824829899552,0.1971834457231899,0.4527466604289089,0.8138416140791588,0.5563080734587162,0.5781544851478941,-0.29347367236848115,0.5147800159225319,-0.5700953092410747,0.5687717316150568,0.07889207967322581,0.6033937219975455,0.13074726633225847,0.8960078253241608,-0.1977536758816908,1.4687382277570349,-0.13464187977437467,0.8929286003667491,-0.12137699825012249,1.5040397370525427,-0.0807006592046459,0.935700021355121
HT,2278,2278,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004599394588386985,0.0005964430920937236,13600.386540145586,13657.564502255722,-6790.193270072793,1.3196007642635597,0.22111356093326812,2.022657106123255,-0.0754954978296527,0.10475559031202863,-0.7206822815353261,0.4711802843849143,-0.08131400444212211,0.19085049706893625,-0.42606126623160456,0.6701041757327844,0.18823346697835264,0.11545787069779409,1.630321656208657,0.10317424898360597,-0.06330472532071293,0.2234504765615102,-0.2833053940848802,0.7769689456278839,-0.07686519325418481,0.08872255613215028,-0.8663545845060618,0.3863886094789807,0.18334358599260808,0.22635030705387355,0.8099992811097471,0.41802670406905273,0.18813882934743723,0.2523952743229188,0.7454134387109372,0.4561000988667876,0.1310213441142318,0.28140884404538097,0.4655907121849477,0.6415537960088309,-0.13767689907114378,0.19010795330901634,-0.7242037835595072,0.46901633240694396,-0.11420360348197425,0.16666208809993172,-0.6852404454064982,0.4932631714489486
HUSD,1218,1218,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009831224295026919,0.002454139045569348,-586.7777458574487,-535.7280913747503,303.38887292872437,0.792180127028456,0.6236661754883475,2.942854599275022,-0.0007582440578799013,0.005426901320909241,-0.1397195218859927,0.8889048921408081,-0.01111218847886359,0.012183839754566347,-0.9120432230487013,0.3619279347587845,0.012759000877478967,0.009282645526864605,1.3745004956349518,0.169541279136708,9.912717478138041e-06,0.006041385662749593,0.001640801966882959,0.9986911009406356,-0.0019728867176999473,0.0014382370973833496,-1.3717395562173373,0.17039923623087047,0.016828178441672625,0.018281007422372684,0.9205279584908402,0.3574807168163956,-0.0018760403077820492,0.0052449069612724546,-0.3576880050751,0.7206392950440044,-0.0027441028524217933,0.005248878230177223,-0.5227979640764387,0.6012107252395174,-0.0018420410442274854,0.012415754199029667,-0.14836320167899644,0.8820809005248484,0.0026997320547697944,0.007321763027806664,0.368727046275156,0.7123957982496949
ICP,1481,1481,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02809247420119365,0.022022267586211397,9192.903707726711,9245.703790255553,-4586.451853863356,16.892957285985872,1.0086515721241582e-26,1.966523503062447,-0.29809622389340573,0.15703237735301478,-1.8983105835764942,0.057854821085569115,-0.692653352075132,0.1859823172941837,-3.724296815699444,0.00020341502714540856,-0.10785903248902766,0.2530968174354453,-0.4261572056967413,0.6700569455239987,-0.17755818827810743,0.4342951455750856,-0.40884221269152843,0.6827162111073206,0.09867376567704156,0.17514785395455582,0.5633741062145337,0.5732678166710149,-0.003887212364336756,0.5198685648355853,-0.007477298354375657,0.9940350696672231,-1.2367788171555696,0.7409028390239378,-1.6692861088032767,0.09527790253485491,-0.7250507362216638,0.6353872426114192,-1.1411162950671323,0.25401113223047694,-0.0591008527256168,0.7617201587373704,-0.07758866828939193,0.9381660280953455,0.35045910300231625,0.2486555738258858,1.4094158341598872,0.1589280124101619
KNC,2803,2803,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0030852576937825393,-0.0001620215971172012,18308.38052826053,18367.65737871669,-9144.190264130266,0.9003049095417782,0.5239878545359404,2.016690393082649,-0.0518709046336208,0.12320475750557457,-0.42101381215959804,0.6737777415678978,-0.22015480540580812,0.204943214771425,-1.0742234411192815,0.2828163504460156,0.10654012311921793,0.13585306638933364,0.7842305363494012,0.43297207646560454,0.27351838140199036,0.2771968404020022,0.9867297946301365,0.3238615175665408,0.02260881063134107,0.14050019662852226,0.16091657644521307,0.872170870458999,-0.25645328849801247,0.27603423756753553,-0.9290633319907198,0.35293742269488115,-0.10208166427635534,0.3097471069820879,-0.32956454467307916,0.7417539975778669,-0.6033790583913994,0.3807887686547892,-1.5845505646685796,0.1131829237889597,0.1521603967675233,0.27761101776578107,0.5481064764363935,0.5836630717566333,0.39618355715869635,0.2607157726940598,1.519599497432796,0.1287260803253509
