symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_InvSIX,stderr_diff_InvSIX,tval_diff_InvSIX,pval_diff_InvSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
BTC,3803,3803,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0037620307002427245,0.0013793196389358942,20476.397931437656,20538.7541886373,-10228.198965718828,1.7346156605564431,0.07586579020729765,2.0370182109898964,0.15679798355120167,0.058728339224808614,2.669886218831904,0.0076203059666203115,-0.09928124463404356,0.08391373877431431,-1.183134562756882,0.23683056325008625,0.08784244821900777,0.05725408074367282,1.5342565469224707,0.1250506184239608,0.11861897635204736,0.06880951408828682,1.7238746403564476,0.08481261081145065,-0.003906367942215105,0.06820583516330084,-0.05727322204709231,0.9543305918758976,-0.0907542325527413,0.06019955329280671,-1.507556577892175,0.1317519972960665,0.29537152566438785,0.11961534856029568,2.4693446887837895,0.013580153507104495,0.10593447847482199,0.1976119417676676,0.5360732632209503,0.5919396026517367,0.2911002534634417,0.16113620523681807,1.806547777612229,0.07091267288925188,-0.24657170058850522,0.14132602686277046,-1.7447012844133074,0.08111851635153977
BTG,2775,2775,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0035360573513981697,0.0002570169551139312,18666.60297752007,18725.778341059508,-9323.301488760035,0.7589096884190263,0.6547722331243355,2.0272059060866883,-0.1939796545550997,0.13863090534114875,-1.3992525986737692,0.16185064804359864,0.1033487130747327,0.15915689581513207,0.6493511484087809,0.5161659586578402,-0.006587261365380917,0.17214827981846303,-0.03826504320767792,0.9694791545307246,-0.3693712209826327,0.4150072959909965,-0.8900354874499511,0.373525111999495,0.08270244359565983,0.14386823542922153,0.5748485296210276,0.5654410239675651,0.23380695191819104,0.2883934898894643,0.8107220173652491,0.4175958655207096,0.2628897279475804,0.30563960057343814,0.8601297981490265,0.3897928856510484,0.01892008720559664,0.40152589987569454,0.04712046523388397,0.9624206568326061,-0.024753081556261602,0.266736009765979,-0.09279992445706425,0.9260693078263235,0.06875482690554766,0.23996128998634303,0.2865246594959575,0.7744980113995461
BUSD,2080,2080,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.20182904150009995,0.19830769903612977,8113.834070477371,8170.0900211986955,-4046.9170352386855,1.6281342612144352,0.10173914617325208,2.3278669264652336,-0.00033081289962619276,0.040751592646080144,-0.008117790695918073,0.9935238050081288,-0.8672613063433058,0.315565225107528,-2.7482790793814145,0.006043645587575241,0.052289831908369555,0.03653122065168055,1.4313737941292706,0.15247629033892154,-0.05161978425392229,0.10516951657551436,-0.49082458429727577,0.6236033128310476,-0.008328451492236634,0.013974248167671201,-0.5959856582126639,0.5512509260892288,0.08269602623574879,0.11706110938744706,0.7064346704766205,0.479998539729372,-0.011902789708649428,0.04772640918646108,-0.24939629675777042,0.8030793573925923,0.007314259937756958,0.02264680594890666,0.32297092818557377,0.7467503588932582,-0.018853429416399226,0.09368322768516053,-0.20124658257676167,0.840525832008363,-0.010273578713467003,0.017850821127775224,-0.5755241531988515,0.5650003357874225
COMP,1808,1808,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0279553354551616,0.023007144289492243,11327.58280467297,11382.415248833708,-5653.791402336485,6.8992484647420325,8.050558539804858e-10,2.134945711528799,-0.07478060634385814,0.13859530735112094,-0.5395608824937125,0.5895678434315306,0.9540274661155338,0.12612851453681423,7.5639316741265,6.250197882116139e-14,-0.02601895501330032,0.11631629529630637,-0.22369140065043452,0.8230232813910553,-0.16649543605111947,0.25596450099498036,-0.6504629954697685,0.515477712730561,-0.04636301874820592,0.22625416312196472,-0.20491564932316159,0.837661616036568,0.00925984698858687,0.30790561962797885,0.030073653737709972,0.976011706789978,0.7060919200886895,0.5142748141065133,1.3729856114292391,0.1699309283616422,0.7896944083279666,0.6830423753578847,1.1561426301174957,0.24777902341036734,-0.056307778183836005,0.4490557779160176,-0.125391501352348,0.9002278718945392,-0.19150869534122203,0.14869235756105265,-1.2879525113628596,0.19793103855737731
CRO,2264,2264,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003943520896100172,-8.728320099304909e-05,13714.771658153602,13771.887147949894,-6847.385829076801,1.314783341674271,0.22363416820597817,2.121971992829072,0.01655805230655947,0.10864425229293219,0.15240615087409135,0.8788804306179341,0.012622854298162872,0.1369879163798537,0.09214575001754877,0.9265905387580827,0.009254581080955532,0.13459528819628297,0.06875858141080982,0.9451879684207893,-0.06643503334674024,0.29531053417741254,-0.22496668983311083,0.8220258553150532,-0.05891378893628575,0.1452450553382059,-0.40561648587006194,0.6850634309062453,-0.026967610892847535,0.33496769250832054,-0.08050809524616367,0.9358404017311508,-0.07731551720628455,0.2692347729512002,-0.2871676505928091,0.7740107070114987,-0.5808205365862117,0.2849884432947416,-2.0380494376240854,0.041663084387179423,0.21595917509153978,0.2264788080235753,0.9535513586289253,0.34041441220856783,0.31645262250068684,0.185260505344403,1.7081494078427297,0.08774816947989979
CRV,1750,1750,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.012621340321052443,0.007424610533268483,11804.67175946788,11859.172555165955,-5892.33587973394,2.9597949214211314,0.0016998125872246931,2.004264193125456,-0.15682239700740008,0.18547347571946696,-0.8455246573617765,0.3979362635729763,-0.39299322720101193,0.1482978272151071,-2.650026872146767,0.008122730653405309,0.3782354068311035,0.1742527855776109,2.170613259221846,0.030097621570550445,-0.03741646210480018,0.35867439385498684,-0.10431874353408058,0.9169286374082968,0.5572929497879582,0.26700835131589595,2.087174228976188,0.03702013822032703,-0.25809368460673754,0.4357428055179108,-0.5923073917421887,0.5537230751612583,0.21332723837702944,0.6121403693816669,0.3484939877311388,0.7275121276913706,1.259743370455854,1.018944415970378,1.2363219727311174,0.2165086924785771,-0.8963022759988715,0.8473220703438311,-1.0578058891292244,0.29029335336686035,0.17663504097594315,0.2013716171649527,0.8771595692716383,0.38052318635041626
CVC,2819,2819,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007610306147967205,0.004396377668417606,18703.76683538127,18763.101219257544,-9341.883417690635,1.658200176591421,0.09364627122744819,2.0095717097937262,-0.043581269494254504,0.12940414041981133,-0.3367841968028896,0.7363050173515782,-0.3752598425098849,0.31041590318891554,-1.2088937411222327,0.22680651524391332,0.1297016900215382,0.10962250289662907,1.1831666546041484,0.23684431118842364,-0.47963468818641586,0.2965695690017095,-1.617275466936566,0.10593232546484739,0.2858423280418978,0.1710713727778313,1.6708951556326048,0.09485498753526765,0.1516683129161469,0.2941562260775801,0.5156046327441877,0.6061715884814285,0.5489142787514739,0.38789479813061256,1.4151112141664828,0.15714793457130194,0.18536213604057122,0.4294781147194155,0.43159856041016453,0.6660666849155535,0.29526667577435234,0.282071473796682,1.046779639926232,0.295292257497901,-0.024060913266126666,0.317420113473304,-0.07580147648126356,0.9395824976426016
DAI,2019,2019,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005239992340102306,0.0007160711329577962,1260.5679002197312,1316.5217730082709,-620.2839501098656,0.4591260189276933,0.9022960025424442,2.6133034625717073,0.003630879300787474,0.007602136067296701,0.4776130377890756,0.6329783945669405,-0.013618239238622622,0.016382184274468335,-0.8312834851849807,0.405913785949521,0.009426108371459576,0.011836538461061601,0.796356840512827,0.425920174598057,0.007467144431221315,0.009404778661328656,0.7939734362835497,0.4273060874463591,0.01088031912240634,0.009430368407878488,1.1537533478879265,0.24874062222348964,-0.02371005311540926,0.017427875955337346,-1.3604671720278096,0.173837063620719,-0.004797738881969586,0.024255155514326148,-0.19780284975438864,0.8432196311586565,-0.009548072129653546,0.025183314817541224,-0.37914278556383363,0.7046225101574397,0.00807769596271797,0.021354062102335362,0.3782744437103872,0.7052672997356471,0.006688965891331849,0.008145701666016348,0.8211650960945499,0.41165114244857914
DASH,3803,3803,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00419415852704319,0.0018124809896378213,23665.39381039008,23727.750067589724,-11822.69690519504,1.7676043528880365,0.0692217699659203,2.0032205175607842,0.07222646884127579,0.08979969502348337,0.804306393494855,0.421270854858962,-0.2167096493679918,0.13673668728993835,-1.5848683602263796,0.11308027397447414,0.029335619259687865,0.07725214314490275,0.3797385815518762,0.7041609068288439,0.11909609878674311,0.10712128826762378,1.1117874020447025,0.2663005950601647,-0.029133235656177363,0.10134297538567766,-0.28747168262334866,0.7737670106922698,-0.12314287603521919,0.147406349710903,-0.8353973643383075,0.40354705025046955,0.3139603482267152,0.1970763005635979,1.5930903275982593,0.11122391633198052,-0.030134399853815122,0.3090427147991058,-0.09750885042996107,0.9223274991241158,0.3886709223677554,0.22546557664551248,1.7238592611360892,0.08481538814841828,-0.35404041163375916,0.23032353064111089,-1.537143906435784,0.12434214759545144
DCR,3301,3301,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0132548772727058,0.010531569666282659,21205.13735477148,21266.065865046865,-10592.56867738574,2.9029145450787017,0.0020048323957663153,2.09519859189214,0.06799050027510814,0.10769950408426397,0.6312981740557733,0.5278898265173796,-0.44017875190823624,0.2859251962492198,-1.5394892009606773,0.12378193444073264,0.10407174638436906,0.10837253402230339,0.9603147819995681,0.3369680087108239,0.2560735043661737,0.27848074232158365,0.9195375674145018,0.357882477047765,-0.2838886672724188,0.12871770795854376,-2.205513691743572,0.02748759152576487,-0.40604598705431094,0.31959860906336407,-1.270487341119209,0.20400172236695063,0.7829042848480958,0.23560285552316756,3.322983005064259,0.0009004303015067066,0.6762441828637933,0.3128879899107705,2.161297987361691,0.03074488930174117,0.36255712658439554,0.23796764105693968,1.5235564170577491,0.12771652210887932,-0.6984529141189578,0.2667683164046773,-2.6182004052513927,0.00888037223479395
DGB,3763,3763,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0025237532687877318,0.0001124488850700045,25931.1691561911,25993.418830980245,-12955.58457809555,1.1774354233511832,0.3047285824992198,2.05984642309873,0.11881090624592297,0.12763637579889758,0.9308545898633167,0.3519891416255658,-0.06205733761242954,0.12319572240614204,-0.5037296458057509,0.6144811767920034,0.025008114976221192,0.13883268991852687,0.18013131482864053,0.8570592825581367,0.11952681582734989,0.12300790818488465,0.9717002556266336,0.33126281456785833,0.07463212732880149,0.14798791270857478,0.5043123182348738,0.6140717663059899,-0.02123401266432684,0.13971741681854755,-0.15197827978671888,0.8792123016960605,0.5634362237130326,0.25273094564596327,2.2293915067382333,0.025847300893468858,-0.008248318628785556,0.44085134868345227,-0.01870997707825582,0.9850734716774636,0.7159147405093592,0.36192667913122806,1.978065674041624,0.047994912208845185,-0.5080514544006605,0.2901972711608983,-1.7507106540604724,0.08007812205209117
DOGE,3803,3803,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005221507514255319,0.002842287096404883,25058.301518487267,25120.657775686912,-12519.150759243634,1.659644938395427,0.09312628681399715,1.991560246266715,0.18636092581849417,0.10768200737557915,1.730659841513675,0.08359442992701233,-0.007935791644759674,0.24231399336813933,-0.03275003450875038,0.9738756604053794,-0.09429644916825293,0.08774175190348225,-1.0747044265993342,0.28257598571099724,-0.026874127955510238,0.10721870713888772,-0.2506477523618928,0.802100142881158,0.3104791539892683,0.13752206358797328,2.257667939884089,0.024023446370255514,0.014708103331193934,0.09085834450530778,0.16187949947002075,0.8714094378688191,0.7037383234937827,0.2672008863468814,2.633742474118093,0.008479518935033051,0.7164893712541612,0.37048508582077383,1.9339223053118277,0.05319757802956859,0.1991559414725325,0.25141503208956395,0.7921401509579796,0.4283288935345957,-0.474065926988912,0.2068895597481151,-2.291396083814379,0.021995519680129146
DOT,1745,1745,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0066432175575884544,0.0013996920197691942,10643.440218352061,10697.911901948062,-5311.720109176031,0.7059967199596611,0.7039122195127931,2.0417702393006083,0.05075194089247384,0.13342769830770174,0.3803703544029758,0.7037178974425109,-0.06972491697118656,0.1452688468421614,-0.4799715733060413,0.6313091728858813,0.11526840521558085,0.11567989507237628,0.9964428576241535,0.31917641011984205,0.14076566153984407,0.20155142972946877,0.6984106326052163,0.48501567263009027,0.007981210824601029,0.12510821524970048,0.06379445833090594,0.9491413689074433,-0.13189050358309384,0.2172356588903255,-0.60713100352314,0.5438448173622911,0.3829979504331795,0.42956505276168094,0.8915947607257138,0.37273598375980366,-0.8809250701460851,0.7719537224127854,-1.141163057537573,0.25396232801353485,1.0208006184334306,0.6217275208594358,1.6418778068925468,0.10079974597943696,0.08197494318496111,0.14772859533403998,0.5549023396560533,0.5790342474414214
