symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_VIX,stderr_diff_VIX,tval_diff_VIX,pval_diff_VIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
BSV,2389,2389,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004359581102589272,0.0005448668539401735,15342.779844190216,15400.439774984292,-7661.389922095108,1.1018810579863523,0.3577555706273056,2.0734839869346358,-0.036738676797818004,0.12748771992298455,-0.2881742399974827,0.7732387900994107,0.13498007280190735,0.17970387408854305,0.751125002098733,0.45265267028306644,0.10573164531144083,0.14987804388378514,0.7054511959965579,0.48059944158753476,-0.18553298107695765,0.1732766426136503,-1.0707327789737646,0.284399602012917,-0.07576112806122767,0.12444037695190503,-0.608814678297773,0.5427061529108003,-0.2602131495383419,0.14536550456467404,-1.7900611999910296,0.07357282891359568,-0.06769034931358117,0.37741825564676673,-0.17935102052120636,0.8576775559628484,-0.18393241734466362,0.4612970666421301,-0.398728781614726,0.6901292993914843,0.08414856729638953,0.23176040557026475,0.3630843115299844,0.7165745725107049,-0.02408123272408344,0.22184279006947205,-0.10855089190206356,0.9135679842727424
BTC,3803,3803,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004128575136295276,0.0017467407425209025,20475.009481408873,20537.365738608518,-10227.504740704437,1.6668584534039372,0.09132622578216601,2.0307998996876844,0.15662485915047966,0.058703804403007015,2.6680529608479135,0.007661931552383571,-0.07030261930662826,0.07887879065126759,-0.8912740513155737,0.3728391492636315,0.11328531700145436,0.09276177816742398,1.221249950566793,0.22206790503701845,0.11635460965414338,0.06879797392566943,1.6912505269392817,0.0908717702226647,-0.011387096616876348,0.06825515496985923,-0.1668313055901019,0.8675117492736744,-0.09292632923666796,0.060179184595131885,-1.5441606572413598,0.12263350470752032,0.30062658114644086,0.11909951971010346,2.524162833554551,0.011638230757197563,0.10887788018794953,0.1971271988459186,0.5523229712864344,0.5807598975099411,0.29533455117544044,0.16088463744044873,1.8356914362613286,0.06648217046958678,-0.2503729187034275,0.1411186160684651,-1.774201913813813,0.07611059990947858
BTG,2775,2775,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003931924246249219,0.0006541865198200769,18665.512250113305,18724.687613652743,-9322.756125056652,0.8249989160216102,0.5930213985374602,2.0211838617171654,-0.19401602481348482,0.13862902046085618,-1.3995339804645588,0.16176632363367083,0.10459292948491217,0.1540466197648265,0.678969325289888,0.49721474797415877,0.14381732380767784,0.19925303578975942,0.7217823469421353,0.47049000538804564,-0.3695135039418194,0.415110275368354,-0.8901574494004668,0.37345964127819664,0.08162086737795238,0.14361384061186416,0.5683356634026926,0.5698537248955109,0.22973457020554744,0.28936551450214476,0.7939251869760889,0.42730786208231697,0.26914074037959324,0.3048503211300874,0.8828619218175073,0.37738847000521847,0.01940474134953815,0.40109934077454357,0.04837889115466157,0.9614178143881602,-0.018639842976757304,0.26742204991570057,-0.06970196729339687,0.9444359715468309,0.06555040078620242,0.239835726258026,0.2733137460750129,0.7846326858193041
BUSD,2080,2080,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.20127785405549936,0.19775407988221483,8115.2492363430865,8171.505187064411,-4047.6246181715433,1.671726607960715,0.09049687985223562,2.3267707107578426,-0.0004797928183378347,0.0407575152113552,-0.011771885892694523,0.9906087619876555,-0.8660651091606589,0.31569160070294316,-2.7433897741726794,0.0061340415353486125,-0.024891755866252942,0.026292927496384268,-0.9467091813825596,0.34389911312441157,-0.05273887933186493,0.10514197066150982,-0.5015968314085584,0.6160052743519842,-0.007758384024414669,0.013706451869120619,-0.5660388332806682,0.5714296399064351,0.08409857913189706,0.11719220699027152,0.7176123847456711,0.47307848256500395,-0.011720848751769777,0.04799729696586653,-0.24419810057439498,0.8071019548023756,0.009333680553956251,0.02293939474712276,0.4068843427147072,0.6841356209806077,-0.020285125936444187,0.09406224374442408,-0.21565641142434122,0.8292771392801555,-0.01132203516216722,0.018163538934684857,-0.6233386127494576,0.5331317116398031
COMP,1808,1808,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02896572421344268,0.02402267642946132,11325.733706999321,11380.56615116006,-5652.8668534996605,9.074067860307263,1.6205937436226335e-13,2.116087219846737,-0.07517097146216864,0.13852675032435544,-0.5426458881491011,0.5874420325046333,0.9319004270485773,0.11466025305012305,8.127493200640354,8.149065917322181e-16,0.19035507459260548,0.15065946759968132,1.2634790074952325,0.2065836647890152,-0.15684339871646177,0.25461228983770967,-0.616008751252479,0.5379680403487785,-0.054910753880585875,0.22623759195209414,-0.2427127755683204,0.808256062905309,0.007131663134455599,0.3072538711843858,0.023210978943779766,0.9814846002899612,0.7072462031111113,0.5139019628923763,1.376227868698034,0.1689253770315028,0.7926854930741782,0.6816339321619834,1.1629196489088582,0.2450190408289877,-0.05881560668896388,0.4479571014017662,-0.1312974088476678,0.8955549798325051,-0.1932467760128272,0.14890926994161535,-1.297748461788818,0.19454307118519468
CRO,2264,2264,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004807347810784401,0.0007800394161338042,13712.833387931023,13769.948877727315,-6846.4166939655115,1.3522224483803402,0.20466196215718493,2.107110468798071,0.016454763841759083,0.10858406241708152,0.1515394015979509,0.8795639759390399,0.018380334372514795,0.1258570191467578,0.14604139282118292,0.8839019471592162,0.1527559658417315,0.14241571249669577,1.0726061272577325,0.28356424589278234,-0.05460487876002781,0.29728134581166077,-0.18368081122258545,0.8542806075614168,-0.06288393936793553,0.14548449320863122,-0.43223808930452245,0.6656102829653032,-0.03579654593085978,0.3364817230948465,-0.10638481520367617,0.9152866350919436,-0.06891244735221419,0.26785402183214363,-0.25727613451852377,0.7969894146281427,-0.579003257852318,0.283849023421131,-2.03982825402673,0.0414853712052547,0.22234720652899387,0.22620285761110312,0.9829548966674062,0.3257365555064178,0.31345893956140747,0.18499170821773306,1.6944485922172792,0.09032007708088635
CRV,1750,1750,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010164412074913032,0.004954751085833653,11808.94637843097,11863.447174129045,-5894.473189215485,2.4778319630172003,0.008261532787492379,2.004660985226786,-0.15776226770916454,0.1856537759043135,-0.8497660063239203,0.39557414784321476,-0.40929208792880434,0.14794526776160566,-2.7665101704254895,0.00572695636983408,-0.06590290318468617,0.20957544601872577,-0.31445908591218114,0.7532107475069987,-0.058171146349979705,0.358325714381074,-0.16234153457408743,0.8710560889272907,0.5646784980328053,0.2659416822478454,2.1233170116843545,0.03387055862649935,-0.24431828747695605,0.4370258381165355,-0.5590476950514014,0.5762023742077947,0.2124167460291502,0.6126729888801475,0.34670493050037765,0.728855664088593,1.2472282895438493,1.0201418470706074,1.2226028107025833,0.22164823046040708,-0.8881547699707848,0.8478136900771245,-1.047582482290408,0.2949790557166622,0.17249005673494763,0.20169382948170203,0.8552074060877316,0.39255614168911035
CVC,2819,2819,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007371075680013606,0.004156372434644839,18704.439084772024,18763.773468648298,-9342.219542386012,1.493981799932552,0.14408275255933461,2.009163084891361,-0.04380966144322191,0.12940975082779632,-0.3385344702619727,0.7349860299061188,-0.3912607593602795,0.320406463868252,-1.2211387830214377,0.2221370667614113,-0.07460020146829148,0.1722899027241658,-0.43299230128259786,0.6650539648167526,-0.48519387018082916,0.29570640288824335,-1.6407959565359802,0.10095294263981859,0.289361304253518,0.17118158646562703,1.6903763437875445,0.0910681250572499,0.16083807184569943,0.29301210794471777,0.548912715497902,0.583109449754309,0.5507219053962544,0.3877476496888541,1.4203101059108367,0.15562959812861737,0.18979757244027762,0.4296383680040655,0.441761226591573,0.6586963707735515,0.2933665411086769,0.2822737903564769,1.0392978417804615,0.29875665206361546,-0.02583689205701334,0.31697139200751445,-0.0815117474589026,0.935040852673354
DAI,2019,2019,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02183855076886021,0.017390115678875273,1227.099450095232,1283.0533228837717,-603.549725047616,0.7447392481516917,0.6679939015573325,2.5827149797174376,0.003598231720045886,0.007559181114774897,0.4760081370471353,0.634121123352382,-0.010732013717113196,0.014928358196926174,-0.7189011393981002,0.4722867072580512,-0.04425160409708421,0.028345528311404068,-1.5611493852199874,0.11864839687254129,0.005163020703908037,0.00961780052705164,0.5368192747797373,0.5914527990694516,0.012408167664647418,0.009092251443884154,1.364696933562445,0.17250346639399386,-0.016288554937469002,0.015798063558603293,-1.0310475633324439,0.30264450356256145,-0.00761027986744398,0.023080233430391863,-0.32973149471802243,0.7416377503244043,-0.009152911860337032,0.024914332765008967,-0.3673753556503779,0.7133783332784827,0.005218386946274086,0.02068761480722969,0.25224691173437835,0.8008764139462226,0.0066057599820733125,0.00817836122838345,0.8077119361208529,0.41935350240271796
DASH,3803,3803,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004173217319905609,0.0017914896972320848,23665.473153511473,23727.829410711118,-11822.736576755737,1.7652423046440513,0.06967950762398055,2.0035523052717084,0.07217121451795704,0.08979441836461517,0.8037383150576448,0.4215988889726656,-0.21225651728852796,0.13729430719060626,-1.5459964920020417,0.12218950476448126,0.014714453428943473,0.12220245273705549,0.12041045903231372,0.9041644349114024,0.11837680934072901,0.10725168203540514,1.1037291639086027,0.2697812154649683,-0.030656325441677207,0.10149731269138447,-0.3020407597873224,0.7626376830210082,-0.12268872336091122,0.14757706591172898,-0.831353588736448,0.40582665765990755,0.3147580239387392,0.19691623697021757,1.598436110610546,0.11002990999374218,-0.029521937497658607,0.30895136602957646,-0.09555529039102038,0.9238788637847509,0.38907379028901784,0.22541653693204466,1.7260215048300125,0.0844256296528029,-0.3545528354069721,0.2302545125391651,-1.539830127527531,0.12368584641344545
DCR,3301,3301,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01336085693065514,0.010637841816388272,21204.78601979076,21265.714530066147,-10592.39300989538,2.848583211334509,0.002406363776928085,2.097427565528392,0.06783190699025426,0.10769001153306051,0.6298811377639241,0.5288164842553424,-0.4532739620546568,0.298206203644983,-1.5200017857250323,0.12860747316354187,-0.12290676350742383,0.14653964536838848,-0.8387270434457955,0.40168397402614264,0.2653900876452227,0.2785995705446137,0.9525861333039073,0.3408704056694748,-0.2779143473896804,0.13066587900168006,-2.1269083368436763,0.03350256920127857,-0.4124045934984076,0.3195280095040258,-1.290668051725874,0.19691030535969328,0.7817590536409136,0.23461735624262164,3.332059768129361,0.0008716663549289161,0.6811108692636723,0.31314557133104515,2.175061478176323,0.029697132727391495,0.3576578809423568,0.2381930843890497,1.5015460329577863,0.13331120764369897,-0.6995303536121986,0.2663062104821713,-2.6267894854785254,0.008659800109449488
DGB,3763,3763,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.002719144709133814,0.00030831266572317606,25930.43784284131,25992.687517630457,-12955.218921420656,1.1903313495298045,0.29628148084666006,2.0553161506409108,0.11874607499819582,0.12763714416221547,0.9303410521883827,0.3522548482541743,-0.057683585633307756,0.11766850749835621,-0.4902211038421948,0.6240063362405308,0.11170122775520441,0.15523110519511263,0.7195801873265363,0.4718286811136283,0.11995060011957938,0.1233000144480951,0.9728352478829132,0.33069839190804184,0.07163608112650924,0.1474524140970818,0.4858250817063223,0.6271197802444504,-0.023460636686781416,0.1394389784258543,-0.16825020486833564,0.8663955851863714,0.5678517911994231,0.2522539235518361,2.2511118289215992,0.024436551307048797,-0.008486687109387159,0.44104574215133774,-0.019242192585264974,0.9846489301249095,0.7209245722289086,0.36170187157172695,1.9931458167363847,0.04631834741137056,-0.510345748768783,0.2899282571044547,-1.760248393397946,0.07844780360898411
DOGE,3803,3803,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008351111841386039,0.005979376525567015,25046.41283127806,25108.769088477704,-12513.20641563903,1.5257912871338748,0.13264479111503422,1.9849141629091347,0.18640246697302698,0.1074866525353324,1.734191758476745,0.08296595934433837,0.056590254937109605,0.2415445940979248,0.23428491599429999,0.8147765410630647,0.3892730898853587,0.33318913731192407,1.1683246729647434,0.2427498390363369,-0.02040360085906283,0.10634012860855574,-0.19187113205561074,0.8478535031215224,0.2842653609845691,0.13559336484491405,2.096454803003818,0.03610847352561498,0.005569236769732477,0.09012445112858943,0.06179495908148499,0.9507293996753182,0.7102304760622333,0.2696670938941516,2.633730596514714,0.008479814988442127,0.7036580910245676,0.3653655865423377,1.9259013901218345,0.05419194250794915,0.21511098932319567,0.24906065911667544,0.8636891514144125,0.3878137211235745,-0.47405741898263537,0.2075674445344169,-2.28387173164832,0.02243453778982542
