symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_EPU_DUS,stderr_diff_EPU_DUS,tval_diff_EPU_DUS,pval_diff_EPU_DUS,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
GNT,3023,3023,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004019297550262757,0.001014327278037519,19959.71386988174,20019.754184960268,-9969.85693494087,1.4237509386677063,0.1718048879215106,2.1100413327195855,0.08307179685487379,0.12374340001424965,0.6713230511308698,0.5020667333920976,0.16791999960905374,0.16768741970210088,1.0013869848278782,0.3167209760846546,-0.08811854656458895,0.11104110451945524,-0.793566913314969,0.427510718466913,-0.3144755536265219,0.15278448669191208,-2.058295056229483,0.03964849696453355,-0.16387884050346535,0.12864153756226462,-1.2739185461316902,0.20279152905525644,0.1757833578760305,0.15372517887995987,1.1434909957938335,0.25292654829388045,0.4628042023534734,0.29905257985847444,1.5475679981510069,0.12183241959639779,-0.001720357166832831,0.35051783982665763,-0.004908044531153117,0.9960842909547647,0.42762073637663556,0.2776788315060103,1.5399832031034018,0.12367051264377156,-0.2364400992038007,0.2839284585544491,-0.8327453345380611,0.40505503609287463
GUSD,2449,2449,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.13405715738355506,0.1308220035506169,8180.737583186194,8238.648678292295,-4080.368791593097,1.4414333073360743,0.16456730769591996,2.7904809513576887,-0.010029498382081656,0.02642543997567114,-0.3795395040277634,0.7043207281550549,0.5109532380891522,0.21941493071079526,2.3287076974840217,0.019956895491790177,0.017231595307933147,0.019029512435512572,0.9055195379454819,0.36528076825409694,-0.06364180748277476,0.06941059617498548,-0.916888933244897,0.3592926229786515,0.019361886020326617,0.05291763198247731,0.3658872344616242,0.7144813485317938,0.06871854520296419,0.049391922484497856,1.3912911615159784,0.164265621747893,0.023848038539266706,0.05556444729402276,0.42919600033225047,0.6678189730764228,-0.010610474601657482,0.08712538987390586,-0.12178395548087331,0.9030802784613273,0.03476322339278327,0.06339467380818392,0.5483618939024419,0.5834942477486715,0.02924205731753645,0.03728688447022319,0.7842451235336856,0.43297339832098014
HEDG,817,817,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02368016428664632,0.012791838981292991,6330.871765844862,6377.928156793462,-3155.435882922431,1.7693447558633306,0.07035942136033471,2.024462669086415,-0.03395972580465087,0.405198688039096,-0.08381005863813219,0.9332282355017336,-1.635733121294263,0.6042692543938968,-2.7069606957497125,0.006933740495354393,-0.4579092164996783,0.26847685894695433,-1.7055816962986445,0.08847079871560719,0.32796129433189003,0.7903079564302676,0.414979112463013,0.6782674913516821,0.6369977987254463,0.49219998820346017,1.2941849126215972,0.19597178369759294,0.4210975408517757,0.8108784609568126,0.5193103049683834,0.6036867595423195,-0.29810245530652585,0.5154174245817513,-0.5783709302191883,0.563175080048938,0.042250187655164584,0.6049324528569371,0.06984281874055201,0.9443360686787239,-0.20055695341305269,1.4681961439872153,-0.13660092640510238,0.8913803139692112,-0.08204524127905599,1.5102455961473704,-0.05432576098109673,0.956689071272417
HT,2278,2278,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003378384635490117,-0.0006294770884958112,13603.142363538755,13660.32032564889,-6791.571181769377,1.0419402201664834,0.4036240607820684,2.038734993932342,-0.07569949501210509,0.10480703469582672,-0.722274943011238,0.4702009168819311,-0.036764783424964906,0.2031494341356359,-0.18097408728403508,0.8564043023548757,0.06164151078623874,0.08857527087838461,0.6959223514074668,0.4865497194739711,-0.060874951426055056,0.22330757027803355,-0.2726058563543613,0.7851813588477754,-0.07849991637232473,0.08913245633361015,-0.8807107938157865,0.3785689393992302,0.18245915248309486,0.22602275143790962,0.8072601157287387,0.4196024216788715,0.1957615263129905,0.2522958598838775,0.7759204863809194,0.43787792177749874,0.15492817833677897,0.2798148459807692,0.553681052174861,0.5798524556039175,-0.14550230830398653,0.1899775646394245,-0.7658920598342674,0.44382129828201966,-0.12728936188349183,0.16629357135287318,-0.7654496854444551,0.4440845300734365
HUSD,1218,1218,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008183576267725368,0.000794215494885564,-584.7526694238632,-533.7030149411647,302.3763347119316,0.5646662364925628,0.8267466961335462,2.947236933041586,-0.0007582440578799503,0.005431414645725741,-0.13960341961309317,0.8889966095766271,-0.0009204342363549912,0.006560499596579843,-0.14029941208057345,0.8884468179835556,0.0005842659280787931,0.003344639924414071,0.17468724325568394,0.8613546643318917,0.0005150240845772252,0.005954519764327304,0.08649296752068279,0.9310888800211593,-0.0021791232969065825,0.0014624903477772292,-1.4900086692664538,0.13648299652366752,0.01648171940096426,0.01813529881687701,0.9088198417566794,0.3636265084447019,-0.0013348385881739493,0.005302576471418492,-0.25173396279504606,0.8012895221606012,-0.001635020651349908,0.0053436452709159496,-0.3059747734844777,0.7596765745557978,-0.0020234689598377332,0.012333055816050703,-0.16406874257427057,0.8697044744471929,0.0020842393926239367,0.007562082982817305,0.275617101446755,0.782889311529944
ICP,1481,1481,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02786639431148996,0.021794775677765665,9193.24119227488,9246.041274803722,-4586.62059613744,15.216696482846105,6.902839843317336e-24,1.9604683178683362,-0.2985133971967834,0.1569511929145559,-1.901950483162583,0.05737687088846556,-0.757198370454727,0.08654306514435418,-8.749382393513763,5.876876223636202e-18,0.000832297201078365,0.1559020524587507,0.0053385904030902875,0.9957411803176204,-0.17622597482026556,0.4347366623578628,-0.4053625794164132,0.6852711868385772,0.10462593922594102,0.17481731786632668,0.5984872694703096,0.5496089097375509,-0.005823524796772922,0.5205164312208946,-0.01118797495616725,0.9910750224030191,-1.2380362915360559,0.7410937911147708,-1.6705527780414573,0.09502720513656661,-0.7103464548935241,0.6385158521655718,-1.1124961932962725,0.2661104218566859,-0.07300022333732403,0.7662448242176672,-0.09527010301421215,0.9241135350510803,0.35322715066653554,0.2487837448228492,1.419816037088987,0.15587754111462718
KNC,2803,2803,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0034040948855953435,0.000157854152323611,18307.49351464806,18366.770365104217,-9143.74675732403,1.0676176084226352,0.3834809477783076,2.0252543069812226,-0.052028324158959825,0.12318861857310313,-0.42234684308993165,0.6728047337050291,-0.17833826201232728,0.17444979509507816,-1.02228989099775,0.3067332131472488,-0.1535107772014762,0.1165557834842658,-1.3170584299851502,0.18792825693792986,0.264063338518043,0.2768690822733191,0.9537480181964321,0.3402946372512744,0.00757479185785602,0.1394306941875818,0.05432657351375833,0.9566789058407993,-0.24324091499326736,0.27585838282833813,-0.8817600991470755,0.37798325251870146,-0.09990709761252867,0.3093677048348925,-0.32293964771096073,0.7467653854596307,-0.5931656067120095,0.37990648666163673,-1.5613463511095869,0.11855657553939293,0.14886589265318137,0.27761993078098113,0.5362219212230266,0.591848350826802,0.3888969182658028,0.26016506608248935,1.4948083696313672,0.13507865678488346
LDO,1358,1358,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008738670772674872,0.0019698149585276603,8917.927087703987,8969.841381004351,-4448.963543851994,1.1384558421158282,0.33191120976649413,2.0291059536030707,-0.1672358777276813,0.1840178374851807,-0.9088025379123865,0.3636205138539851,-0.11099450088340777,0.17660915133286242,-0.6284753652103335,0.5298014712756977,-0.18487423614136533,0.19872017534577013,-0.9303244414900849,0.3523734896364499,-0.19628540520022536,0.33784708955730025,-0.5809888889598812,0.561347274046238,-0.8688454687430778,0.3303394100134667,-2.6301598973845057,0.008633886895746472,1.020042381629451,0.47044785704065695,2.1682368542307913,0.03031910972443785,-0.6610264876370562,0.7977498235252402,-0.828613768557157,0.40747301964869664,0.12054243844017842,0.6416601993344249,0.18786023905676794,0.8510151295827822,-0.6898034201539051,0.9625909307994089,-0.7166111772744832,0.4737410050091335,0.04301848918892853,0.30030687540988343,0.1432484325582402,0.8861158772437719
LEND,2730,2730,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010561110270812746,0.007250719933428851,18546.6092396536,18605.619310173526,-9263.3046198268,2.408757803537967,0.010164571282166577,2.005235093888773,0.17922846257088462,0.14356331753265997,1.2484279804282943,0.21198301163530203,-0.2320230180105785,0.1892346907850857,-1.2261124905162744,0.22026366789868312,-0.204612872627045,0.14468633075784323,-1.4141824701429389,0.15742405889018582,-0.7091322043384966,0.3245463035049195,-2.184995474236691,0.028975184277091524,-0.32363342542691786,0.2480229709922184,-1.3048526276909718,0.19205464687359639,0.5557256457979534,0.32314411911024254,1.719745503424632,0.08559373825182978,0.7603601281867246,0.4028374839945869,1.8875108657886015,0.05919920539772542,-0.2326691149161504,0.44823535958898675,-0.5190780020779671,0.6037490489403332,0.8279123434328153,0.3107673012423025,2.664090913436544,0.007765738795707368,-0.2201710040035833,0.26720246488156274,-0.8239856773071832,0.410020745877378
LINK,2801,2801,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009073371752011394,0.005843259599084272,18173.240402772397,18232.510038221026,-9076.620201386198,1.5036986580164895,0.14056034781319054,1.9384848414318003,0.14605257823166573,0.12082909956959624,1.2087533446158063,0.2268611266259886,-0.5174171548181709,0.2283624968104578,-2.265771140379631,0.02354252267516484,-0.11767735802016273,0.11678164924153227,-1.007669944588451,0.3137012386340969,0.2301089493302731,0.2925614221634259,0.7865320985544477,0.43162332290955063,0.10909249577149627,0.165158252657672,0.6605331190904232,0.5089668763909185,-0.06180210475964526,0.33916735004610304,-0.18221714074554787,0.8554256988029267,0.38980503299404656,0.2972155511846215,1.3115230055775622,0.18979017478055632,-0.011350813404016169,0.34713323522518075,-0.03269872271565425,0.9739172059791215,0.38965752666544995,0.2502571925876817,1.5570282821299015,0.11957838080243689,-0.28103621088402003,0.23236982800877903,-1.2094350341964464,0.22659930409861603
LOOM,2585,2585,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0029755558084967326,-0.0005502673733199792,17322.694052307306,17381.152127333684,-8651.347026153653,0.9226266246158707,0.5040694067867053,2.0068804553526753,-0.12629946988121332,0.14246339239196712,-0.8865398174270542,0.3754104711510696,-0.13305170266459027,0.20341722496257586,-0.6540827734183708,0.5131175766263354,0.16323918866524553,0.1397604682239396,1.167992571430755,0.24291916663612695,-0.20810271198402394,0.320951460779967,-0.6483930980662893,0.5167892288461007,-0.05426677316280358,0.16203892143833165,-0.33489961967845044,0.7377284081281958,0.08379019384704003,0.32396950076428555,0.2586360557069978,0.7959369759212498,0.4511577992326541,0.34454292058708885,1.3094385990108208,0.1905040234351289,0.14318800381558303,0.39528298826784675,0.3622417560721276,0.7172014545042208,0.23949058094697448,0.2882497164759816,0.8308441162575438,0.40613963352944926,0.018196683959182683,0.27587017389273993,0.06596104139281715,0.9474140231655515
LPT,2354,2354,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006535062217409515,0.002671110428280943,16170.537944548634,16228.048395728352,-8075.268972274317,2.208670830431839,0.019036396182521752,2.017680450352192,-0.017117411288842012,0.1628140669724719,-0.10513471966606037,0.9162780216347828,-0.3072469088601245,0.11492755267219298,-2.6733964285873433,0.007561503865932009,0.006407272721482754,0.17531891615867576,0.03654638564890356,0.970849845292483,-1.0167348086832178,0.4762325855731657,-2.1349543048582764,0.032869509026164326,-0.09476770880625222,0.17111029324113677,-0.5538399064789227,0.5797419266481572,0.9989018173065237,0.5270861530338781,1.8951395546191099,0.05819844403990421,0.6273354815130382,0.44448959272830385,1.4113614621715107,0.15827249722108439,-0.02101716217742139,0.49159830162306734,-0.042752715190493645,0.9659023458367928,0.4223589832536363,0.3632401687215829,1.1627540663801612,0.2450491955658381,0.056028315896919534,0.2666413685756368,0.21012611882475493,0.8335877396748762
LTC,3803,3803,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0019844983966408325,-0.0004024640042175065,23360.71552443911,23423.071781638755,-11670.357762219555,0.8850082677513593,0.53777274871315,2.006174950707485,0.09642366547437771,0.0860869672423107,1.1200727422882966,0.2627542474395038,-0.1019293236401274,0.13614531540481753,-0.7486803591959699,0.45409667664041486,-0.035146223257924325,0.07948296497104297,-0.4421856088374245,0.6583803108510745,0.03797591239377799,0.08487737165705685,0.44742092800915106,0.6545969208071047,-0.05487919314863418,0.0907466166782529,-0.6047519473173459,0.5453802891514428,-0.07747818053839847,0.09362392229463809,-0.8275468346067756,0.407979663914536,0.32411690988997666,0.18115683507161093,1.7891508744997333,0.07367092132240947,0.21422669615338724,0.29355518705375366,0.7297663458222581,0.4655784425228149,0.22569983848536213,0.21338255277660928,1.057723958910773,0.2902492034151701,-0.3238273997314951,0.214686240987417,-1.508375190892997,0.1315424782851929
