group,proxy,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_R_g_t_lag,stderr_R_g_t_lag,tval_R_g_t_lag,pval_R_g_t_lag,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes,coef_EPU_DUS,stderr_EPU_DUS,tval_EPU_DUS,pval_EPU_DUS,coef_VIX,stderr_VIX,tval_VIX,pval_VIX,coef_InvSIX,stderr_InvSIX,tval_InvSIX,pval_InvSIX,coef_TwitSIX,stderr_TwitSIX,tval_TwitSIX,pval_TwitSIX,coef_ConSIX,stderr_ConSIX,tval_ConSIX,pval_ConSIX,coef_fng_value,stderr_fng_value,tval_fng_value,pval_fng_value
Hybrid (A-P),TwitSIX,1807,1807,9,"R_g_t_lag,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.011035638980346096,0.006082562047025619,9746.44335599757,9801.437588903493,-4863.221677998785,0.6952540958793192,0.7137860548311201,1.8058456406064773,0.047059609041026594,0.08420071098342308,0.5588980008766363,0.5763009725471148,-0.29295067276611747,0.20227863959219664,-1.4482531292316378,0.14772072133054967,-0.36292519828947983,0.1937331773600815,-1.8733249680560917,0.06118572930224272,-0.053834242525633694,0.09816769959177041,-0.5483905882434137,0.5834918564403522,0.19992403717842025,0.20077857432969703,0.9957438827617455,0.3195086622699325,-0.03319089167815785,0.07087795493715267,-0.46828229888387923,0.6396395177732264,0.024398085624873445,0.03204008780726575,0.761486228490943,0.4464666205483241,-0.0667469760272136,0.10000780440547731,-0.6674176722907632,0.5045910766201013,-0.06437376321639637,0.078610182360902,-0.8188985355720745,0.41295288895006677,,,,,,,,,,,,,7.901319733657e-05,0.035442922915593617,0.0022293081618786873,0.9982215183514227,,,,,,,,
Hybrid (A-P),VIX,2490,2490,9,"R_g_t_lag,VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009936941341742389,0.0063439705643535405,12628.290256542048,12686.490636436636,-6304.145128271024,0.72658850934946,0.684900191646197,1.8043243800144055,0.03470807238462917,0.06110508080437371,0.5680063249690502,0.5700820932601072,-0.24724035595821417,0.1751320412883595,-1.411736848034144,0.15815290996260645,-0.21661043129441787,0.12053792905605705,-1.7970312995313003,0.07245227844718442,-0.010065483885520789,0.09090485708245502,-0.11072547945805489,0.9118430000268252,0.07656929335246696,0.16742474953215827,0.45733557055589225,0.6474699256011166,-0.025647780168109847,0.051840894835534675,-0.4947403058816302,0.6208272707513691,0.003489577225649817,0.035799045598001226,0.09747682284146288,0.9223556160903011,-0.03571971956466165,0.05682149429181858,-0.6286304154765028,0.5296489341145623,-0.06087082745788318,0.07464676638752674,-0.8154516317809919,0.41489214685222653,,,,,-0.021622285982654928,0.05873120248526371,-0.3681567049147375,0.7127878111035992,,,,,,,,,,,,,,,,
Hybrid (A-P),fng_value,2489,2489,9,"R_g_t_lag,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010131623479499585,0.006537910131906077,12623.736719089247,12681.933082112922,-6301.868359544624,0.7021171800680714,0.7075213711757398,1.8046308114962266,0.0347290275108052,0.061123666355093774,0.5681764459129346,0.569966622271473,-0.24761439211337702,0.17528024604153436,-1.4126771139669805,0.1578762131824469,-0.21844109226330943,0.12129453679784474,-1.8009145179174373,0.07183784528097174,-0.00921492024545165,0.09052861661627955,-0.10179013653230345,0.9189314870531408,0.07827560988010146,0.16723601881367792,0.46805473148287746,0.6397865970550245,0.007362043349317535,0.051329248033659965,0.14342784340985784,0.8859639515575757,0.0434543284577635,0.036178455970898735,1.2011106414468693,0.22982303035420015,-0.02233012180467602,0.06928339958721508,-0.3223011852437538,0.7472517125890757,-0.07506039597122355,0.09047491437780918,-0.8296266040969434,0.4068298096618397,,,,,,,,,,,,,,,,,,,,,-0.05119467262268383,0.03433094958431202,-1.4912105037163874,0.13603346708955494
Hybrid (A-P),no_sentiment,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid (U-A),ConSIX,2788,2788,9,"R_g_t_lag,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005627639730514722,0.0024061310039397155,18702.370271146083,18761.701068864888,-9341.185135573041,1.3639963183012134,0.19881375488590397,2.106366313742572,-0.047061544844116926,0.1309178863129045,-0.3594737599997297,0.7192680262518578,-0.22067746486394363,0.2232575672850514,-0.988443381998275,0.32302163257366834,-0.5497596438638189,0.3150060888634727,-1.745234975766107,0.08105454011026923,0.19478525981809872,0.1813046966427977,1.074353083096684,0.28275776757986537,0.1871378699762151,0.2996187778188993,0.6245865874579068,0.5322937170076969,0.544112137289104,0.39496858653171013,1.3776086398846301,0.16843512079456166,0.18144779887146698,0.43077301489276504,0.4212144043345795,0.6736311131815624,0.30210850435092046,0.2974210945011557,1.0157601795448523,0.30983205889006704,-0.018951345174612506,0.32531879618729503,-0.058254688621501266,0.9535499492278374,,,,,,,,,,,,,,,,,0.027234876297462643,0.18769650035119867,0.1451006078776296,0.884641964613653,,,,
Hybrid (U-A),EPU_DUS,2788,2788,9,"R_g_t_lag,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0061021084770565,0.002882136906247834,18701.03964832026,18760.370446039065,-9340.51982416013,1.4534383036883323,0.15961248605730377,2.1072754713125574,-0.047061544844109945,0.13088664858977012,-0.35955955287396824,0.7192038645342587,-0.2213329903497869,0.2226254211640266,-0.9941945946357696,0.3202147267835245,-0.5492087812068075,0.3149849352187418,-1.743603327649332,0.08133890294355621,0.19041094419432383,0.1810899932208443,1.0514713751306644,0.29313360361223395,0.18634225983928854,0.2997368207777174,0.6216862491428058,0.5341992085772562,0.4330657242726036,0.37912963715255404,1.1422629144087377,0.2534431917650111,0.303201062723363,0.46351166700955754,0.6541390094439867,0.5130763975882735,0.0817374277610747,0.31167867159057216,0.2622490250742815,0.7931489033712255,-0.03562001622331866,0.3194454173675191,-0.1115057981324495,0.9112233235237279,0.1890626577090982,0.15635270265423024,1.2092062017450709,0.22668653622194787,,,,,,,,,,,,,,,,,,,,
Hybrid (U-A),InvSIX,2788,2788,9,"R_g_t_lag,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005628394698389938,0.0024068884177151917,18702.368154382464,18761.69895210127,-9341.184077191232,1.3595051672014704,0.20097109437012378,2.1063781910982264,-0.04706154484411761,0.13091783661380635,-0.3594738964633532,0.7192679241935527,-0.22078835660507606,0.22321981482538258,-0.9891073369888396,0.32269676919419443,-0.549459127405926,0.3149373635929835,-1.7446616087001732,0.08115437408162005,0.19502065497020593,0.1814261261557295,1.0749314836982595,0.2824987568408533,0.18671644625098333,0.2995001630605003,0.6234268600824294,0.5330552322778122,0.5376898953877841,0.39037909571629315,1.3773531966438815,0.1685140360460568,0.17581044672049378,0.4283650535303421,0.4104220110197218,0.6815280535038608,0.28836566269187136,0.27553625940449883,1.046561578919232,0.29539287944335724,-0.026916421940285526,0.3181194832151528,-0.0846110450961635,0.9325767145973431,,,,,,,,,0.0171067430890045,0.1135209329155808,0.15069241107916045,0.8802293005255816,,,,,,,,,,,,
Hybrid (U-A),TwitSIX,2105,2105,9,"R_g_t_lag,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006083907795408239,0.0018141011940521201,14414.95878586733,14471.479493328494,-7197.479392933665,1.2181771728222988,0.2789263885534994,2.110732962651078,-0.08416797846441446,0.1614818003541959,-0.521222690605378,0.6022667386480115,-0.19761951615267997,0.26993984550430744,-0.7320872388568014,0.4641972092791504,-0.6090844592011858,0.35107854966174334,-1.734895110476062,0.08290645271635247,0.2566102673698152,0.20592955439260296,1.2461070395004588,0.21286442520308838,0.24476114264136717,0.3396036945647193,0.7207257946798405,0.471158649623555,0.4838469003101973,0.3639002809185301,1.3296139785572763,0.1837902423897536,0.19897659772608112,0.37875215713153687,0.525347761008206,0.5993970550686495,0.04912789278725069,0.22542550588897822,0.21793404696381657,0.827501723294291,-0.017532347881479796,0.346536612017159,-0.050593060800778154,0.9596546154040442,,,,,,,,,,,,,-0.05497178261467843,0.1699437232930155,-0.3234705086453623,0.7463712236517617,,,,,,,,
Hybrid (U-A),VIX,2788,2788,9,"R_g_t_lag,VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005640848569434476,0.0024193826360741078,18702.33323623947,18761.664033958274,-9341.166618119734,1.3587821784148788,0.20132012857442547,2.105895388409766,-0.047061544844116565,0.13091701677997897,-0.359476147575291,0.7192662406344894,-0.21938475905186244,0.2236120674331415,-0.9810953477162274,0.32663115752117544,-0.549870269893941,0.31502315067604,-1.7454916208980797,0.08100988570406471,0.19527618093457932,0.18133781745085464,1.0768640743539455,0.28163450033607795,0.18676445835202776,0.29946738364498793,0.6236554247705085,0.5329051055525065,0.5298502290445735,0.3973249779103861,1.3335437198818079,0.1824627679388446,0.20053592915688756,0.4291244361393231,0.4673141687316541,0.6403117726506473,0.26967335287876715,0.2796826289026112,0.9642120210929175,0.3350235635398705,-0.03835730910451178,0.32140352937784256,-0.11934314840525245,0.9050121295495406,,,,,0.033490288084156605,0.17879820446042838,0.18730774274396406,0.8514330311647644,,,,,,,,,,,,,,,,
Hybrid (U-A),fng_value,2642,2642,9,"R_g_t_lag,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006043823652622127,0.00264503733532484,17590.268182914802,17649.061097765625,-8785.134091457401,1.305686880241547,0.2283307635788293,2.1304331800792173,-0.05087853849993311,0.1311380163763752,-0.38797703294449853,0.6980644052483352,-0.2601548177283983,0.2353557320378817,-1.1053685222611238,0.26910096779400944,-0.47239388427059215,0.32368557054885144,-1.4594221283005795,0.14456829385033307,0.17608921668767594,0.18480983330256837,0.9528130269961602,0.3407723048670479,0.15321633359971576,0.3072114448896714,0.4987325054076036,0.618009518676129,0.4625442688572297,0.3959469981031256,1.1681974382257057,0.24283293754069923,0.08581185449518193,0.4228155852379788,0.2029533855685176,0.8391871543619668,0.25431670253869876,0.2836928123181026,0.8964509902828816,0.37009392755939996,0.044430332235093864,0.3096822317799321,0.1434707182899249,0.8859294182647255,,,,,,,,,,,,,,,,,,,,,0.10440230665475597,0.16606146383949147,0.6286967743200624,0.5296021449738292
