symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
LOOM,2585,2585,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.002470140563211709,-0.0006642816188364709,17321.988913998455,17374.601181522197,-8651.994456999228,0.851002209055618,0.5575987797807185,2.009188607100562,-0.12639722429776146,0.14248196254633622,-0.8871103544538567,0.3751032792782675,-0.1285119482451397,0.20515421000758025,-0.6264163345241187,0.5310980560927778,-0.20897911246525352,0.32112929268562085,-0.6507631574732732,0.5152581094572122,-0.054232052464558804,0.1619483334024271,-0.33487255672954047,0.7377488104714844,0.08275233629192405,0.3242740770064907,0.2551925736890392,0.7985949788416133,0.4491528660190555,0.3445146237805336,1.3037265619969145,0.1924446969333892,0.14143288671414173,0.39524016402846013,0.3578403704537415,0.7204924397154797,0.2393411148120851,0.2884454167327524,0.8297622389813774,0.4067510161669915,0.019165496275553834,0.2760425205571684,0.06942950758770752,0.9446531943049601
LPT,2354,2354,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006534415367312363,0.003101272958214496,16168.539457716415,16220.298863778162,-8075.269728858208,2.486049927907594,0.011002366737008282,2.017643470406073,-0.01712088545403333,0.16278801015789668,-0.10517288980574725,0.9162477335891316,-0.3076770934156472,0.11378987806226055,-2.703905643059926,0.006903105491706622,-1.0169923783684023,0.47744213984319755,-2.130085079424294,0.033269767407678764,-0.09472370665818344,0.17102682955776957,-0.5538529066060223,0.5797330072760372,0.999007806038535,0.5276352316181493,1.8933682706796937,0.05843350567226301,0.6272680060195023,0.4446848316031717,1.4105900661330952,0.15849987637848664,-0.021083462190717883,0.4915774227068385,-0.04288940300517301,0.9657933948997421,0.422356031768324,0.36318558386357436,1.1629206954617894,0.2449815388473388,0.05605894434175632,0.2667208752276724,0.21017831579138496,0.8335469988815818
LTC,3803,3803,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0019425103868290217,-0.00017875951670576207,23358.874256871983,23414.994888351663,-11670.437128435991,0.9859955477201792,0.4446857280287002,2.006538901105889,0.0964309816677752,0.08607610828158557,1.1202990422419559,0.2626578258414176,-0.10087691706622394,0.13600890353667178,-0.7416934806699969,0.4583193449165328,0.03841370374069737,0.08478123487340762,0.4530920527172714,0.650508574184471,-0.05313106381980124,0.0905037219756576,-0.5870594342417395,0.5571990003395446,-0.07709028855742851,0.0935549424978134,-0.824010859279084,0.40998559680532354,0.32419796443830445,0.18111199026793265,1.7900414211046651,0.07352760485716843,0.21423974332151235,0.29351147083691703,0.7299194907464104,0.46548482022621585,0.22559909622676994,0.21328254075891706,1.057747602893454,0.2902384044045831,-0.32372941637347036,0.214612605021727,-1.5084361719606199,0.13152685859637567
MAID,3675,3675,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.015312990365783818,0.013164191654088775,26073.24023364132,26129.124009346146,-13027.62011682066,1.8904602260432015,0.05713726323926692,2.212239818783322,0.04769670837851476,0.1384236867546118,0.34457042357980444,0.7304371089055419,-0.9041740216929739,0.6227523595091161,-1.4518997927293091,0.14661504218733326,-0.3958036261306614,0.4168015107803553,-0.9496213806653898,0.34236726716283705,-0.37057896162527104,0.19116811957119326,-1.9384977079677925,0.05263919682995931,0.4903528091705419,0.3960620909095213,1.2380705460714263,0.21576918299783096,0.5557272938616185,0.21670862767489874,2.564398565133769,0.010374966469354683,0.1247157270949114,0.3850739264059136,0.32387476414969274,0.7460513256951622,0.6177957034791931,0.4097256321904436,1.5078278119344921,0.13168476898906648,-0.46719592550799627,0.2460821409724618,-1.8985364954227968,0.05770389974166394
MANA,2836,2836,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003440174758799097,0.0005898070069473293,20146.23389085033,20199.68952819629,-10064.116945425165,1.2066900260542104,0.2906636192126242,1.968685724184512,0.07702963232972991,0.16311645416972345,0.4722370451332899,0.6367944411691986,-0.37746401014375003,0.3398673139769799,-1.110621688584377,0.26682668898148565,-0.03108874278750373,0.44489803382115684,-0.06987835509293575,0.9442954764921379,0.21111915222226846,0.2531616711949531,0.8339301570643022,0.40439155419284045,-0.00032665317053651166,0.4843794608664482,-0.0006743745284992082,0.99946197510792,0.37982246483046195,0.3527246978656313,1.0768241269431986,0.28165171157129987,0.1672146184304559,0.4029985579474359,0.4149260962176101,0.6782278282298435,-0.09722832081086878,0.30475808014119654,-0.3190344313949682,0.7497242265869124,0.14384009557124872,0.34005251861384467,0.42299376624994217,0.6723323278315232
MKR,2713,2713,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004183649669294631,0.0012043935725686294,17266.43656352886,17319.48878118269,-8624.21828176443,0.8492809694331928,0.5590961642861094,2.2305057665160084,0.013483619859942182,0.11592862061523165,0.11630967217918052,0.9074158543293108,-0.2721087622606827,0.2636527580314715,-1.0320725043513554,0.30213148833748055,0.019033159026479562,0.19396182532991574,0.09812837651999545,0.9218377097350332,0.07410042612990349,0.132678193621147,0.5584973996668353,0.5765515411224482,0.046556879910793644,0.19268243261341342,0.24162493320915562,0.8090893275027916,0.5728851234342711,0.290168796153514,1.97431678053758,0.048448486201676466,0.35793592383542355,0.3782900075601839,0.9461944980888185,0.3441348839649061,0.29572878658253243,0.2369240214773981,1.2482009411221484,0.21206676038046018,-0.27051003248126765,0.20545706197120517,-1.3166256242833827,0.18807697739228632
NEO,2877,2877,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0035325010956638314,0.000723572275637463,18388.891355185897,18442.4775449714,-9185.445677592948,1.3512075680706233,0.21325995002641895,2.0156953847979406,0.01408825442686834,0.1136994708619235,0.12390782753929523,0.9013970298933408,-0.23334751213160904,0.144754416901602,-1.6120234333866919,0.10706803242478057,0.11248347678886521,0.13486475971307973,0.8340464701688569,0.4043249922061558,-0.1025183434000811,0.11945910956935142,-0.85818774114137,0.3908612745654597,-0.05696225996727143,0.12495234338058213,-0.45587188224053343,0.6485169888305904,0.39330617554433545,0.25392505157478157,1.5489065498072994,0.12151568543730096,0.016936675611508578,0.3164019137187492,0.05352899232639803,0.9573141987621743,0.3374276231928424,0.23822283159009128,1.4164369592141037,0.15675735791655393,-0.2626264049332807,0.220138540558319,-1.1930051151752132,0.2329670965352853
OMG,2877,2877,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008683100284207379,0.005888690418905496,19084.946038696886,19138.53222848239,-9533.473019348443,2.7750201528114444,0.004668059262468662,1.9818396878727504,-0.015979248793415432,0.1292900757029425,-0.12359223015793906,0.9016468967324661,-0.3633352905499657,0.1874412834785473,-1.9383952340016362,0.05267406477443848,-0.27123631345901217,0.344324712261573,-0.7877340887835033,0.43091804644781506,0.20575568201632866,0.1703794549558101,1.2076320004057637,0.2272894745076588,-0.10149017418956396,0.35149035850950544,-0.28874241279315016,0.7727995914795938,0.27464622426374163,0.31572585977721873,0.8698882773097409,0.3844350287210143,-0.5412625922109797,0.38337936654180954,-1.4118198302984368,0.1581126471234709,0.4704848970193613,0.2950465430300798,1.5946124709259706,0.11091027141269796,-0.011660943312042843,0.26282860064930086,-0.044367101918266295,0.9646149059855151
PAX,2374,2374,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0005150576071760726,-0.0029093019384953678,571.7041472075271,623.5406745637991,-276.85207360376353,0.07664200197871185,0.9997103874561142,2.8877395670283112,5.505510034821935e-05,0.005688440226624651,0.009678417660175959,0.9922786873227418,-0.004063523720644301,0.010275481578142818,-0.3954582264336791,0.6925408702199174,-0.006446864414158036,0.015122041870259555,-0.42632234915557615,0.6699122721805312,-0.0035568958825452687,0.008263308986800737,-0.43044449726215234,0.6669120583955404,0.008357075817541089,0.016409008090621003,0.5092980496680841,0.6105914496975096,-0.0006811954973458736,0.00888382451146031,-0.07667818026651899,0.9388861322268629,-0.0007421334058793716,0.007977753707016198,-0.09302535940996616,0.9258913952517598,0.00012116563782978151,0.011686648960612526,0.010367868346019946,0.9917286718109908,-3.628096258601141e-05,0.010698108941788395,-0.0033913435340233457,0.9972943942378092
PAXG,1932,1932,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003956354408803375,-0.00025302180077391156,5369.136637326721,5419.092588514669,-2675.5683186633605,0.8660823190707843,0.5445331291890008,2.3619741857995975,0.04017531436324352,0.022193441934519092,1.8102336033220652,0.07041807347681629,-0.008643400930485531,0.011627924052294117,-0.7433313884416232,0.45737331411644233,-0.041866749240838684,0.04643787786623908,-0.9015646529204628,0.36740286507896425,0.009912044395597298,0.040468928141951306,0.24492974859203584,0.8065373741051953,0.05805801117216197,0.06342871500092256,0.9153269330983218,0.3601366041218045,0.02458285725732097,0.11771600043523159,0.2088319104151579,0.8346019276443477,-0.07352996605484215,0.08775452462789561,-0.8379051264493805,0.4021897684133279,0.10308587359719219,0.07284096483928222,1.415218398392209,0.15716895421005012,0.027334181796093454,0.02475477821549011,1.104198210064726,0.2696475007180583
PAY,2797,2797,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004761474304779245,0.0018746330409786793,19004.27578960213,19057.60546042021,-9493.137894801064,0.8691111510903875,0.5418539075954771,2.160183085473951,-0.2354948337284626,0.14123236513682427,-1.6674282378569385,0.09554281309823628,-0.38109510679525455,0.31239560867157234,-1.21991185604631,0.22260259446461628,-0.23269756419590037,0.31870295137932625,-0.7301393450823095,0.4653670247981875,-0.21231516542374826,0.18439384579851217,-1.1514221882206732,0.24965839617269994,0.2536049685480023,0.3361204558965206,0.7545062018661493,0.45060973967791806,0.440371892535856,0.3365225346763558,1.3085955535173162,0.19078042132232184,0.0087165803668839,0.42100179175922964,0.020704378312643622,0.9834829740691957,0.4440942415565464,0.3401653638017525,1.3055245736757708,0.19182317687972458,-0.12528489685847616,0.30793803861129154,-0.4068509932175758,0.6841490016613612
PERP,1577,1577,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006425480073736778,0.0012573421287368491,10408.939257606104,10457.035913261261,-5195.469628803052,1.6884472217693,0.09652380965896701,2.002870039182355,-0.17309862369793294,0.18240877878402847,-0.9489599396029139,0.3427900710788352,0.09691063620515672,0.0803965845889026,1.2054073776976542,0.2282314979011886,0.08282563439397146,0.3059442464629981,0.2707213335485577,0.7866416929945725,-0.8217037007047088,0.310685212780081,-2.6448111043068954,0.008256855723479619,0.5594965827968056,0.4426622758721315,1.2639355402366004,0.2064446931753253,0.6001633813453748,0.5546841706593687,1.0819911818142272,0.2794260592285416,-0.3837701649295885,0.6854175701893759,-0.5599071013361323,0.5756243403659934,0.9326162447406159,0.7111183569349587,1.3114782309380266,0.18989198756938203,-0.16240221834897,0.20376405658874963,-0.797011117013346,0.42556759301861435
POLY,2542,2542,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.039522521888184836,0.03645267777116756,17499.549453271706,17552.00896402,-8740.774726635853,6.612867885575239,1.3998715413649088e-08,2.0204217524902304,-0.11915791534589858,0.1584992680633332,-0.7517884265451965,0.45224898644112854,-1.58467290153577,0.24491789302798386,-6.470221027725026,1.1731515794022614e-10,-0.1717285512578517,0.3332303098657583,-0.5153449316391191,0.6063575166559787,0.2680846873724015,0.1942852166837387,1.379851189649674,0.16775570942602658,-0.050423090324024526,0.3661101368265286,-0.13772656163278033,0.8904676041795326,0.5558670570418738,0.37928444829973257,1.4655677540530092,0.14289168411592457,-0.055999165711583976,0.44053904435783203,-0.12711510234742807,0.8988595089832268,0.30100255778710233,0.33664100672474306,0.8941351522074649,0.37133554893971743,0.10659015551981968,0.3066460418830387,0.3475999718283513,0.7281698538984576
POWR,2767,2767,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0022124957215736707,-0.0007135673408265042,18364.92586489721,18418.157424278575,-9173.462932448605,0.7196017757948281,0.6744224182923952,1.9780804196843491,0.01747755401516333,0.13106422973841766,0.13335106039264574,0.8939255834980032,-0.08403561716607716,0.2508485830931897,-0.33500534916259866,0.7376468077652552,-0.34749196151097816,0.27604194218770955,-1.2588375475009603,0.20819672649782778,-0.3023467128922839,0.21318665517444432,-1.4182253229916408,0.15623921163912427,0.4748805396914711,0.30580862211602755,1.5528683802489243,0.12057057942615902,0.12657541521535728,0.3244070622628831,0.39017465998562934,0.696437859900086,-0.19308678493386336,0.4265260355151637,-0.45269636283902487,0.6508033972260687,0.13505352908151863,0.3046589807689388,0.4432941012953322,0.6575881737393052,0.11955486327796867,0.2978400717970037,0.4014062397871454,0.6881524965565231
PPT,1818,1818,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.015769658972732525,0.01141706487200389,13021.597925637678,13071.147356110314,-6501.798962818839,2.8556260179635355,0.0037152277298100915,1.9827045817780584,-0.22554045745942025,0.20334398804274115,-1.1091572444817674,0.2675097813758403,-0.8758026290087364,0.28716170089472476,-3.049858759994638,0.00232271830005303,-0.8152140849303758,0.4185163280344685,-1.9478668580482141,0.05158538770911303,-0.007126011994370879,0.29274698360942886,-0.024341880167339708,0.9805825921646041,0.7570361697314111,0.46514141130715325,1.6275398219306407,0.10379664229413145,0.6856630227104812,0.333286403401382,2.057278711981318,0.03980248800872633,0.44524772327238904,0.35654753667208405,1.248775205203233,0.2119088817582812,-0.28676240575131057,0.3869446446668174,-0.7410941324649427,0.4587325545727624,-0.2863358504830814,0.45904787109991746,-0.6237603276473029,0.532863639694382
