symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_TwitSIX,stderr_TwitSIX,tval_TwitSIX,pval_TwitSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
EOS,2548,2548,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013410136499300451,0.008544761829981984,11600.376600802174,11655.52459840706,-5790.188300401087,2.3636004270416864,0.01183348066518668,2.0130334965351526,-0.11482233868293529,0.1534657773222175,-0.748195074409676,0.45443890539630505,-0.46138271411188936,0.19836101490919106,-2.325974760328327,0.020128955994418916,-0.33466652967524546,0.11332926396613001,-2.953046000327551,0.003186765220127506,0.04447108810212871,0.10880512833977059,0.40872235326313733,0.6827913818461415,-0.09182756836788097,0.1352158654278688,-0.6791182978218381,0.49714902477752043,-0.238726262128419,0.13159822865621285,-1.814053764751404,0.0698336004509881,0.26527394544623106,0.2749679650721678,0.9647449126541251,0.3348004104775132,0.10202976585529362,0.3242640209738218,0.314650282658188,0.7530631645965318,0.23579377651370145,0.31593576103791726,0.7463345578198173,0.4555614669462015,-0.02508520634132541,0.2111757818465096,-0.11878827260390243,0.9054561732034747
ETC,3232,3232,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00840918943899871,0.004852267440174862,16979.146903101406,17037.463075864933,-8479.573451550703,1.515716053216857,0.1363641641956636,1.8335579183805872,0.027773720157691955,0.14074842012935737,0.19732882352900313,0.8435862087328948,-0.5221925844746645,0.323538498261678,-1.6140044763770742,0.10665220267941561,0.07602645886441885,0.14561350389722316,0.522111320925838,0.6016389152694472,-0.05922480040935717,0.09401288650665346,-0.6299647060104439,0.5287750402945144,0.09822958254683994,0.13562725420072155,0.7242613818714126,0.4689728080415918,0.2704300222499677,0.15696316075791072,1.7228884850698218,0.08503191163055349,0.4322417291957351,0.28703990575957117,1.50585936144289,0.13222916017972178,0.23196407787330256,0.4513819799165873,0.5138975151736632,0.6073688992277487,0.04876041757323581,0.32984726275067455,0.14782726152283673,0.8824909724411527,-0.24677872871670326,0.26900840319638847,-0.9173643863331045,0.35903989893586674
ETH,3584,3584,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004846733937186709,0.001716227333004361,18352.7131013198,18412.337258121013,-9166.3565506599,1.8768030926879595,0.05091901421079328,2.0349906505615514,0.1947395010865388,0.10938939222478558,1.7802411835908756,0.07514259772392512,-0.15504843008400424,0.15120551114503886,-1.0254152041804825,0.30525400630993155,0.116550760994223,0.12632907438466046,0.9225964930237406,0.35629531964662964,0.006789890533956955,0.08835825560747955,0.07684500432104716,0.9387522214973472,0.10916406624643993,0.13537640157179165,0.8063744122238984,0.4200940180037732,0.060930577196306554,0.16934760215205533,0.35979592519767517,0.719026306179829,0.5178279555848163,0.22826410714800632,2.268547438555712,0.02337006349065181,0.098540811156078,0.3806521986985768,0.2588736161067298,0.7957513786745685,0.3606225423886858,0.30885602049093125,1.1676072942190698,0.24306250371777768,-0.31384369976705623,0.2627486962001278,-1.1944633952741326,0.23239576704672243
FTT,2111,2111,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01415595525672475,0.007763594736055035,9464.520745032834,9516.948724260772,-4722.260372516417,1.3927409071040173,0.18606867109240124,1.9263867348311658,-0.46251465445158935,0.4048587149551321,-1.1424100244522262,0.2534806507256721,0.4455050042215668,1.1511674113366535,0.3870027937155363,0.6988134663240964,-0.22088194046085624,0.1314271592613193,-1.680641518102603,0.09305756695331438,-0.38527907303765946,0.3573303747261327,-1.0782152883950809,0.2811250331055335,-0.052304300693120725,0.24978914586795534,-0.20939380897186807,0.8341715530239898,0.07315968180861446,0.33657863357592815,0.21736282256345454,0.8279575484662609,0.12129277220436424,0.24986668219481253,0.48542995464195743,0.6274479996125352,0.08204604256765408,0.28471149363156584,0.28817256908436123,0.773257669635509,-0.7571830799299936,0.5282515430447587,-1.4333759927433614,0.1519756240359573,0.23582980754950078,0.19671207409453959,1.1988578161001,0.23078787137307197
FUN,2828,2828,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006852672457640652,0.00260643685294637,14149.052626365677,14205.62072728048,-7064.526313182839,1.200272101653792,0.29018462807206524,2.1056872050256112,-0.14729642353958164,0.10450847169404409,-1.4094208933683605,0.1588584635457949,-0.3105478198952606,0.3018961453254294,-1.0286577841545645,0.30375869558149843,-0.05126506479710343,0.19062391575618376,-0.2689330171072221,0.7880075838427751,-0.2158144473322502,0.23608665945739918,-0.914132326783136,0.36075201143216007,-0.2548512374331261,0.17710792911651516,-1.438960066352904,0.1503105088219426,0.46077943480622957,0.2839902579787289,1.6225184556885128,0.10484212996823349,0.5877527242063161,0.337292546092681,1.7425606673348002,0.0815564195700103,0.2753986722592687,0.40593865961868153,0.6784243523835951,0.49757724511329837,0.19637708604648418,0.32791497305026435,0.5988658712951865,0.5493267707847105,-0.13636090496772557,0.24290215449786665,-0.5613820315822814,0.5745968882955221
GAS,2853,2853,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0311660786954564,0.027072414239240006,14671.976679695508,14728.662290775666,-7325.988339847754,2.3335443795655753,0.012949741455905463,2.262101489443745,-0.07321263173835432,0.17243065626215093,-0.4245917363270207,0.671177200609363,1.0634172998368217,0.4502304526167157,2.361939965758194,0.0182690918528706,-0.032288717723505084,0.19762471961389352,-0.16338400270264117,0.8702315975208408,-0.2477295310615481,0.18263208491109303,-1.3564403603131678,0.1751028535606914,-0.3757489471974082,0.16145493862808336,-2.3272682173133026,0.020044284056630817,-0.41599908657168105,0.17642093204417547,-2.3579916609187603,0.018464042259959124,0.316232475297842,0.3114854026171115,1.0152401128298323,0.3101066892245272,-0.031175187624263134,0.3805016957536605,-0.08193179681502963,0.9347086471830868,0.2634708527187114,0.37163578609855363,0.7089490909490667,0.4784336553789771,0.0006741401439594452,0.24545277470529359,0.0027465166966185706,0.9978088566796892
GNO,2951,2951,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009586968799681461,0.005586198027328404,14493.787082856026,14550.920461744745,-7236.893541428013,4.677043487873355,3.6264207644640255e-06,2.0083084547926497,-0.029299255808530964,0.12537146667325944,-0.23369955370219994,0.8152397042494024,-0.35540367663706834,0.07181328147785133,-4.9489964714491155,8.018262061132206e-07,-0.03195712967274825,0.16245052768164261,-0.19671914969322377,0.8440652656957334,-0.2533387989238379,0.20992840794912745,-1.2067866440697737,0.22764243338983878,0.12564987895534468,0.1462659642380768,0.8590506999347068,0.3904049581893766,0.21945259960467953,0.24867143898086308,0.8825002199853271,0.3776015633486892,0.41219652060784295,0.26912470296143925,1.5316190452680345,0.12575843823730562,-0.16957012032568883,0.31261208555042236,-0.5424298296949183,0.5875766846026691,0.3125688696150412,0.3222312998911765,0.9700139921869835,0.332144807096843,0.08206633180782813,0.2461826347313929,0.33335548584639113,0.7388973278477122
GNT,3023,3023,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004909154371321223,0.001015320627556826,15634.659201865736,15692.109229900894,-7807.329600932868,1.4094047078489753,0.1781632170677635,2.1306600753575218,0.021832589651256167,0.14750111730304133,0.14801643574265996,0.8823427718399263,0.16697418511140574,0.16938814104017005,0.9857489673483586,0.32435999763361223,0.16283012108414663,0.17216897192992173,0.9457576429649803,0.3443715584721736,-0.37818068202608446,0.19799718983998585,-1.9100305531190436,0.05625353960813129,-0.14836968400090522,0.1307955826438866,-1.134363110754796,0.25676047715761796,0.16862858306221895,0.2002473567869986,0.8421014178059176,0.3998187394888192,0.5205558604852443,0.3158195928717056,1.648269683815051,0.0994339230367691,0.05921014713362496,0.36331174774614383,0.1629733899356229,0.8705537036116123,0.3189654359196377,0.36841679670586824,0.8657733273064886,0.3867047769314286,-0.19037443311066127,0.30336769552637327,-0.6275369326333267,0.5303696287163908
GUSD,2449,2449,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.1361799683359104,0.13167569238864696,6439.841743836183,6494.435132788386,-3209.9208719180915,1.379136344926062,0.19205660577402964,2.7894845196985014,0.014150227265922188,0.032261601372786684,0.4386089550365033,0.660999800498083,0.5113445710343821,0.21833093490181874,2.3420619311886735,0.019290685583472033,-0.00931571235513701,0.043485534651483505,-0.21422554488057113,0.830396481133456,-0.1833024931680446,0.15319142173853798,-1.196558469709219,0.2316430285556138,0.02372712703060135,0.05895165714898332,0.4024844792850839,0.6873773487685482,0.1969676947176723,0.13045643460451933,1.5098350289488047,0.13126855846832391,0.027811718234714743,0.060107245001702475,0.462701596686506,0.6436365999939071,-0.015601728538208175,0.09095360429219304,-0.1715350222745086,0.863823202547612,0.07904959690364005,0.09969698797486781,0.7928985469808508,0.4279459083378664,0.02751120410330534,0.03777388582133233,0.7283127881900022,0.4665209321572181
HEDG,817,817,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.022148343323263542,0.011242934512742386,6332.15261349645,6379.20900444505,-3156.076306748225,1.4876750794186424,0.14795471308728347,2.024881498049929,-0.0339597258046512,0.40551643666528986,-0.08374438798070545,0.9332804331490991,-1.6650706821928025,0.6091496132559239,-2.733434686583723,0.006404967915988919,-0.043956431293980996,0.666204939319649,-0.06598034433498916,0.9474098159047051,0.30586587595288073,0.7939626216669469,0.3852396417739499,0.7001613909824169,0.6378049392193459,0.493660420706036,1.291991240268267,0.19673004110412276,0.45167067636307084,0.8078068266975117,0.5591320368133034,0.5762267391878694,-0.289021078820876,0.5127508611076229,-0.5636676615160524,0.5731369226036335,0.04125918060954237,0.5942723046364311,0.0694280724301703,0.9446660837550428,-0.1628502251014184,1.3498698948095482,-0.12064142309388622,0.904005087176652,-0.08380410122653592,1.5280754646155692,-0.05484290741335816,0.9562771907356907
HT,2278,2278,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003959001406955487,-0.001805866109017007,9487.982512774413,9541.538923804155,-4733.991256387207,0.9468270935103961,0.48296963019529293,2.056902727521743,-0.09588454285208735,0.157616901804434,-0.6083392184110928,0.5430513596269162,-0.05169934845402386,0.2544269197175466,-0.2031992075029567,0.8390059175225382,-0.17009556332262638,0.09443592965952266,-1.8011742345936064,0.07186908873163765,-0.13751738315343154,0.29683018535703204,-0.463286383721465,0.6432239373729028,-0.08174417261302928,0.11896987469550654,-0.687099762206581,0.49212232064138484,0.23299379742814194,0.3104542211951477,0.7504932499586949,0.45307123062988375,0.21519674084264645,0.26302917944597637,0.8181477860970393,0.41339815481243114,0.21453445662301535,0.286616437876328,0.7485071624384109,0.45426750170874475,-0.18097822348765405,0.2831032981389475,-0.6392656838594288,0.5227442645314011,-0.10180845815354306,0.18784416311410404,-0.5419836127231727,0.5879074471705865
HUSD,1218,1218,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00817892445954338,0.0007895290291922707,-584.7469567849685,-533.69730230227,302.37347839248423,0.5604072431884428,0.830127643633085,2.9472573201665138,-0.0007582440578799603,0.00543142738289609,-0.13960309223091505,0.8889968682011782,-0.0009872734232237836,0.006477990694812458,-0.1524042669611099,0.8788935421418316,-0.0005656057248000768,0.004344422698132437,-0.13019122771898256,0.8964368102330974,0.0005173016201170571,0.0059742151128875185,0.08658905150588553,0.9310125186781331,-0.0021730855237579866,0.0014608559910599846,-1.4875426031427057,0.1371325297154334,0.01647356668615581,0.018164814094561152,0.9068943177947674,0.3646435490485017,-0.001366119054811792,0.005377841398263826,-0.2540273975451987,0.7995176226655605,-0.0017292270914121724,0.005694952478857432,-0.30364205809125633,0.7614528944146574,-0.0016920901803909017,0.011867324320754538,-0.14258396708950116,0.886642537897415,0.002271592442005483,0.008190700921128462,0.27733797923762027,0.7815680516446968
ICP,1481,1481,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.047017083039340934,0.03570198244218281,5038.475150683684,5084.913048015161,-2509.237575341842,18.45531777182252,5.831524765906992e-28,2.017628642186284,-0.5294934899133174,0.8493734938412155,-0.6233929993726676,0.5332138261041233,-0.8132333501550234,0.0839392868684094,-9.688351908801888,5.2561296320645055e-21,-0.19977688360745893,0.1159160822860262,-1.7234613150098002,0.08521292344340169,-1.284629026317424,0.5838233877729666,-2.200372669580312,0.02808141926977768,-0.033054558892453414,0.24062253791887891,-0.1373710009807855,0.8907740315656381,1.0792608742181864,0.5898419865662903,1.8297457603874594,0.06768057715389218,-1.4341661130653067,1.2587359712843684,-1.139370086962666,0.25490875106883065,-0.39515816561420797,0.9007013661302095,-0.43872273372024856,0.6609874699864537,-0.689571597323725,1.6030316786465308,-0.430167167941399,0.6671963122755673,0.42978056681308585,0.2967216302531663,1.4484301884105724,0.1479102915951222
