symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_TwitSIX,stderr_diff_TwitSIX,tval_diff_TwitSIX,pval_diff_TwitSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
PAXG,1932,1932,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.05434591242273279,0.04730047633978951,3596.7333864254333,3647.7830409081316,-1788.3666932127167,1.333831969075466,0.21445118695721535,1.9889062559188706,-0.024070056739135745,0.10957951313759037,-0.21965836541829556,0.8261743432018307,-3.7870491355671607,1.452788391982194,-2.606745178077921,0.009253275613289017,0.009098393185740187,0.0175742235622395,0.5177123844770738,0.6047537482880451,-0.03120060964254591,0.06128711578177228,-0.5090892146669667,0.610782664467511,0.0331913166662921,0.04875270701847395,0.6808097169602266,0.49612237276004967,0.03964187374215976,0.08357846918849687,0.47430724835070054,0.6353665453861307,0.04787787823111328,0.22845576194302886,0.20957176927344395,0.83403725217736,-0.08947778816689156,0.06865754425003077,-1.30324772236303,0.19273854212113278,0.16600762323192014,0.3357225923269361,0.4944785576725717,0.6210581561517727,0.033509736412644764,0.04792673768165752,0.6991866760309368,0.48456997390301315
PAY,2797,2797,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013553501313399496,0.00927081029160537,14450.856606113506,14507.272250526115,-7215.428303056753,1.983967127454346,0.03745247804523023,2.0145339514933913,-0.1864241487763737,0.1938040922801912,-0.961920600246418,0.3362016763297687,-1.4247372685858244,0.5774707300010035,-2.4672025690087334,0.013697614152318936,-0.09712668018851833,0.10199999288630321,-0.9522224211994109,0.3410952027751144,-0.9814704176761126,0.39006197284695543,-2.5161909798912956,0.011938064437916706,-0.16926802007189096,0.2541798357269468,-0.6659380339427375,0.5055248031890855,0.9267433931096192,0.40136592814800415,2.308973752171314,0.021042945715136686,0.46479187912854303,0.34768891993212886,1.3368038280290135,0.1814333647042143,-0.009277443433280685,0.4351960643763925,-0.02131784773048133,0.9829941582622701,0.5317272497675978,0.4658258731568127,1.141472125977426,0.2538053436161289,-0.12493294809717043,0.3295623188535752,-0.3790874773905152,0.7046617291041399
PERP,1577,1577,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01178702473525195,0.0013603931087775578,5875.5956063913145,5923.199753302149,-2927.7978031956573,2.0554562344842546,0.03105103452532213,1.9967364405738082,0.19236148139295686,0.8835378047308435,0.21771731822109966,0.8277014382045058,-0.7352505898462061,0.9781885416958581,-0.7516450648374216,0.45247186690797125,-0.3213170034490784,0.10211871556139661,-3.1465045528886786,0.0017096992202113165,-0.18064070204017663,0.3805887915824027,-0.47463484483900104,0.6351687525604586,-0.876418617241131,0.38918114131100734,-2.251955514310896,0.024578707055453747,0.9319811613252753,0.56650759091102,1.645134462940779,0.1003105046024636,1.2614437888390735,1.1167901609334872,1.1295262377532724,0.2589934404644873,-0.10968212050386986,0.8567323474849443,-0.12802378808954373,0.8981603235581777,1.7497383169670027,1.702325235006279,1.0278519527207437,0.3043108436047165,-0.08567263756759592,0.25081110826076375,-0.3415823093390411,0.7327493818534054
POLY,2542,2542,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008654659519781505,0.003747009319384431,12280.701511153982,12335.811288674124,-6130.350755576991,1.5339575261791323,0.1303724331624168,2.010544253162723,-0.09930247294441721,0.2048313503963326,-0.4848011437325132,0.627875817016404,-0.39108725063802147,0.3403551588273195,-1.149056332759866,0.25068390251813816,0.02049750211990515,0.10712341254634573,0.1913447455852579,0.8482768734946893,0.01407660035632681,0.33023110180383275,0.04262651300690853,0.9660039412770998,-0.012874498246941242,0.19157631190303467,-0.06720297577008164,0.9464275057615597,-0.2697464878513632,0.370782260414001,-0.7275064550018515,0.46700943901885683,0.42742834364068405,0.3860302876397633,1.1072404350809713,0.2683364661658672,-0.1590921281451001,0.43875062629552847,-0.36260262347281685,0.716943898558092,0.29181365104091983,0.42961353547781167,0.6792468740920087,0.49706791756135105,0.1870784569509355,0.31956397728514424,0.5854178513493934,0.5583394451918662
POWR,2767,2767,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0029486957133567637,-0.0014436007812981266,13947.417865923382,14003.688440093572,-6963.708932961691,0.8328487659569844,0.5857528654270377,1.995963062802645,-0.11105972787591852,0.1504580928795999,-0.7381439293185187,0.4605117697039727,-0.012903327065579555,0.2953762813804709,-0.04368437101745121,0.9651602664313932,-0.03675165543116479,0.11736497866334347,-0.3131398808207121,0.7542063545180214,-0.21287103251687722,0.3651485484632451,-0.5829710494886555,0.5599771296074489,-0.20932824679721376,0.2619939148888389,-0.7989813308680448,0.4243941115709724,0.10033901144679558,0.42896982957385016,0.23390691962293705,0.8150806769736257,0.10399717676231321,0.33723772410354974,0.3083794288991839,0.7578250722871919,-0.18560263398728,0.4413953662232438,-0.42049067160666126,0.6741712658029035,-0.1099225372262938,0.40140952434197474,-0.2738413778459501,0.7842342060015755,0.18324384891654144,0.31360218846499666,0.5843194201337487,0.5590699427935628
PPT,1818,1818,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01088818154900395,0.005961780682341544,13016.048842106386,13071.098262790347,-6498.024421053193,2.005290308828016,0.03525694371180451,2.0046097307708592,-0.2207065298110153,0.20458878055189159,-1.0787811981460813,0.28082925573838624,-0.7347760010677539,0.46823125479716765,-1.5692587659190975,0.11676273625257634,-0.1839631672540647,0.14172320757208098,-1.2980454676803748,0.19443736626204222,-0.8203386300176082,0.4159342682855155,-1.9722794983905771,0.048729977019603826,-0.032078507860697575,0.29436725419272597,-0.10897444401100188,0.913234859742509,0.7568956737386441,0.46479240159813606,1.628459654538551,0.10360177476193856,0.6773514392439681,0.33251431779404533,2.037059467807669,0.04178954833727458,0.4392170597380959,0.3553845191362048,1.235892494151557,0.2166591623405337,-0.2861090001748874,0.386887403014236,-0.7395149026456145,0.4596904498603893,-0.2832377050874868,0.4593963016731234,-0.6165432852984097,0.5376136768032527
QASH,2593,2593,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009383463887245536,0.005013096816159912,14201.933243869888,14258.189194591212,-7090.966621934944,0.8179496646496275,0.5995998995168534,2.043243635415651,-0.12406636334354694,0.24428265039742322,-0.5078803719449723,0.6115921475599282,-0.6729242461338876,0.6122475366314365,-1.0991048650620827,0.27185202138730324,0.04396545608661122,0.11672510400487289,0.37665810162632885,0.7064668756095651,0.5416473187981388,0.424139212094358,1.2770507968917497,0.2017296466410125,0.20987196747961442,0.23676939213754378,0.886398218895185,0.3755074569478858,-0.5771336646605882,0.4728590767052346,-1.22051937478268,0.2224091086222276,0.2888322616198873,0.2794714681060246,1.0334946303366876,0.30149498328543384,0.1767661172165313,0.29846296887240775,0.5922547707822956,0.5537456328489456,0.06360924736325493,0.4755005742270029,0.13377322933134467,0.8935950917915781,-0.08802979278184786,0.3382039200217997,-0.260286139723554,0.7946693313600479
QNT,2268,2268,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.011089554335578233,0.005325179976135352,10316.617488185952,10370.103363495227,-5148.308744092976,1.5091678631738332,0.13910891938344086,1.9969434926023322,0.07837153841335454,0.17894949955117076,0.43795338131663303,0.6614813375667077,-1.087498138036089,0.4584702728990663,-2.3720145063265754,0.01781339603061277,0.042396726304373335,0.16273009662528187,0.2605340203416714,0.7944866176819133,0.2078213849816878,0.4245280694819925,0.4895350859491356,0.624532460633249,0.3550238183155602,0.2112081254591877,1.6809193185333315,0.09298084372745212,-0.19454062707430977,0.43460206563847664,-0.4476293199124788,0.6544835328638362,0.4487315367873898,0.3599031488722753,1.2468119220224951,0.21265557475864624,0.21221953514194644,0.39496454022083816,0.5373128813621781,0.5911289333399445,0.0027076197297342397,0.4418932196203927,0.006127316757790975,0.9951119306969046,-0.1162807528457046,0.23262279109000836,-0.49986827301333636,0.617239061532975
REN,2367,2367,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00842983958377852,0.0029982318882544323,11406.69245089457,11460.795921872781,-5693.346225447285,1.7486106412829183,0.07350950900561753,1.9993106051232359,-0.15694759638212016,0.2365822851728799,-0.6633953859539079,0.5071704264948711,-0.7011064806958812,0.35481948719134615,-1.9759525787200924,0.048327213993702205,-0.17070270688484548,0.11910324189740407,-1.4332330855602518,0.1519814922077548,0.2844940555158226,0.36348341064558726,0.7826878674064637,0.4339232207025654,-0.0009639771157724936,0.23761617566653753,-0.004056866554090603,0.9967635901873337,-0.34999726507683165,0.42474354602190845,-0.8240202078521486,0.4100476760151158,0.2538928074497543,0.4156571289906909,0.6108226943352643,0.5414014558564356,-0.34360483364133276,0.40594323045274294,-0.8464356783536333,0.3974330055181766,0.047098025505713265,0.46088788652082524,0.1021897664988536,0.9186185202178009,-0.00023208248560330214,0.27394662898063105,-0.0008471813888234089,0.9993241499761829
REP,3161,3161,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0071412935397251465,0.0034746015585422896,16330.214050641693,16388.24023127612,-8155.107025320846,1.2322283542653532,0.27021270888903126,2.0135736487115947,-0.09145598635059264,0.1606277527877234,-0.569366032726958,0.5691602365221974,-1.1242917134908381,0.45341998796800376,-2.479581278561049,0.013220806729221468,-0.07688326074767726,0.08195048567294802,-0.9381672374036527,0.3482514402387866,-0.002418816805180579,0.37850248808348497,-0.006390491162761047,0.9949016835226234,0.010042815488660789,0.13936181036520842,0.07206289486583745,0.9425577684080221,0.11437141930129736,0.3979717353364199,0.2873857843311789,0.773841378868317,0.35057020890071666,0.28604391577032257,1.225581771094915,0.22047452759047761,0.13264641971834074,0.38413326823759,0.34531354268513315,0.7298884684862963,0.17822170448487412,0.3900968139208953,0.4568653168262336,0.6478085728246777,-0.2542347010116234,0.2794493382244137,-0.9097702740217566,0.363033642104157
SNT,2903,2903,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0069884804569126935,0.0028870102063904834,15055.99425547477,15112.906256449998,-7517.997127737385,1.0469668046692808,0.39966301308196955,1.9437536685408603,-0.11359410140975164,0.14056596034937036,-0.808119555598088,0.41910997446235454,0.28268402235995577,0.4206275706759052,0.6720530038145422,0.5016212024547883,-0.12386127423476288,0.11382780963701765,-1.0881459867297867,0.2766510041912749,0.9510787396097163,0.7841580064449711,1.212866197619394,0.22531245192602062,-0.14016093773455932,0.28918671419562436,-0.48467281121270844,0.6279571712132008,-0.9153247119980501,0.7856422044363909,-1.1650656072565395,0.24411996294933072,0.21435876167019968,0.3248444842856201,0.6598811801949032,0.5093998224664434,-0.0865831165405195,0.4161322995737646,-0.20806632080519763,0.8351966285801751,0.1293139033785706,0.35169168066371315,0.3676911069790709,0.7131392824997691,0.06772560001197274,0.25905000214174645,0.2614383302529941,0.7937792092802173
SNX,1878,1878,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010414395275424426,0.002696656590397417,7902.473157769004,7953.069334051917,-3941.236578884502,1.4897374519716944,0.14653700356340205,2.0032133843706035,0.691133443003054,0.701493181759403,0.9852318753400199,0.32471670350150905,-0.3159994720229356,0.3701533266047707,-0.853698857501671,0.39344903457350855,-0.07448336481509561,0.18374670941263416,-0.40535890440263983,0.685288850402183,-0.4622338655027216,0.5585099788035287,-0.8276197078751303,0.40805701374512926,0.34318685520755976,0.2628713236940452,1.3055317346330004,0.19197206050029364,-0.10516577541314326,0.615429185147205,-0.17088200876919507,0.8643464993585893,1.8622014788203833,1.393081602401835,1.3367497464683553,0.1815678063317407,0.06594825798111258,0.4539418709108702,0.14527908132550582,0.8845158999904752,2.198930213972443,1.8605413313088228,1.181876573752638,0.23749815918144482,0.10987954939896599,0.2633453437729741,0.4172450814003814,0.6765767623835801
SOL,1877,1877,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013149621929029687,0.005446540053367421,7975.270208255657,8025.857789780844,-3977.6351041278285,2.0447445642164044,0.031714292743142865,1.9895655519283828,0.9540459277271445,0.6305633341148443,1.5130057142735551,0.13055224929343665,-0.34153303569576154,0.31445746859447776,-1.0861024774584072,0.27766067026920477,-0.13212191478579216,0.1056396608944415,-1.2506847680797892,0.21130324895914976,0.11910377550683995,0.2373457198787621,0.5018155607258433,0.6158930730375369,0.25176662657169824,0.2470243095136346,1.0191977747752874,0.30832288700640326,-0.11656560841606686,0.15609442133378165,-0.7467634488154508,0.45535860538176,2.6515294124782827,1.2559399321451388,2.1111912637011905,0.03497064849473742,0.7023411015156049,0.5523744261048776,1.2714946027972946,0.20380916941205648,2.398473425223776,1.5604313051779626,1.5370580026592309,0.12455346682963482,0.40381042106067394,0.2415495622827495,1.6717497529057308,0.09484501493849977
