symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_fng_value,stderr_diff_fng_value,tval_diff_fng_value,pval_diff_fng_value,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
HT,2278,2278,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0033174587585860227,-0.0006942330442640809,13593.114649144625,13650.28371049761,-6786.557324572313,1.0091107307427312,0.4301257498770069,2.038410539397228,-0.07700852008584397,0.1049144921179143,-0.7340122277796801,0.463018243887262,-0.03667160451026505,0.2034431985901768,-0.18025475790978707,0.856968906112827,-0.03607717230156631,0.09962949505721726,-0.36211337095352314,0.7173015308421129,-0.057902097813387246,0.2234164625551574,-0.25916665742164047,0.7955305125472626,-0.07909129542085133,0.08922827878766865,-0.8863927052662339,0.3755012690940024,0.1781878691594549,0.22610762672745874,0.7880666023452432,0.4307412840911956,0.19612806528967758,0.25219121921037435,0.7776958527888725,0.43683061287174596,0.15545558266427806,0.279683119046715,0.5558275493856766,0.5783843601814906,-0.1469492354280714,0.19020167887945832,-0.7725969418030296,0.4398426102572158,-0.12829813878974738,0.1662781329416074,-0.7715875594706274,0.4404402773593341
HUSD,1218,1218,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00828400816105701,0.0008953956390781448,-584.8760110392786,-533.8263565565802,302.4380055196393,0.6523217802992796,0.7524968272142079,2.946327537534663,-0.0007582440578799534,0.005431139644700819,-0.1396104883106393,0.888991025467574,-0.0008939625445446249,0.006518835083820847,-0.13713532142627113,0.8909466857667725,0.0019893528184498905,0.004450544753915789,0.4469908580740748,0.6549617881009309,0.00038356567349049405,0.005866555096159833,0.06538175593741051,0.9478808676964969,-0.002173902328369953,0.001451420998722741,-1.497775166738665,0.13445291865933903,0.016581500495490783,0.01805093601588186,0.9185950512982699,0.3584907954774854,-0.0013797894840614174,0.005334576889236435,-0.2586502196351159,0.7959491947961002,-0.001607858282372991,0.005344107593514721,-0.30086562709257364,0.7635687365662561,-0.0020709390369440983,0.01237837646539635,-0.16730296115434778,0.8671596758520498,0.002099767998212611,0.0075760317173976495,0.2771593462829214,0.7817051736197025
ICP,1481,1481,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.027891485119656112,0.02181158474861855,9182.49100047418,9235.277289897387,-4581.24550023709,15.775079970053772,7.850228387968394e-25,1.9610365473469031,-0.29917561940812387,0.15696490429953158,-1.906003260685686,0.05684885449528304,-0.7512132294238332,0.09035791957096352,-8.313750836570115,2.1214076088594377e-16,-0.04127560222006655,0.14300569959290058,-0.2886290709920463,0.7729068164959443,-0.1746755749294362,0.4352984961825238,-0.401277689818146,0.6882752669025125,0.10872228410443548,0.17581209437051734,0.6184004831619113,0.5364092461332493,-0.005938008801191136,0.520487950095591,-0.011408542311307267,0.9908990790781835,-1.2373804517680955,0.7413125509847458,-1.6691751004679232,0.09530020027967671,-0.7082645343883577,0.6383233925267089,-1.1095700747935888,0.2673697207232688,-0.07529535847612073,0.7661258001358485,-0.09828067200291317,0.9217231129604976,0.3522002789600307,0.24910290782868838,1.4138746192486997,0.15761501852470985
KNC,2803,2803,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0043238349844804125,0.0009152821183184834,17263.23273223835,17322.01428560338,-8621.616366119175,1.0662883177727898,0.38452405172473575,1.998312586660097,-0.10017089197667059,0.12489557050545307,-0.8020371865173315,0.4226039370434247,-0.31986974828194215,0.27239717263272134,-1.174277049906201,0.24039042986899684,0.05235847476921108,0.14027759035362364,0.3732490317036484,0.7089931989786142,0.2888831091218162,0.2722224551172334,1.0612023501052028,0.28869542776739077,0.04376010369227881,0.13957442164629102,0.3135252374763587,0.7539065220197112,-0.26362573231579334,0.27312654681564164,-0.9652146061574114,0.33452610873482935,-0.06611317276894685,0.30899251173974396,-0.21396367308937309,0.8305919781593188,-0.6050321238112837,0.38125715669665267,-1.5869397155806773,0.11264655569572486,0.21081345977975544,0.27603386075578534,0.7637231867226167,0.4451007519000767,0.4254727597316194,0.26082259596665097,1.6312726209734558,0.10295258232655276
LDO,1358,1358,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008015315739106077,0.0012312259531273018,8907.34934056516,8959.248562272618,-4443.67467028258,1.0633232576270115,0.38721199589654415,2.0310250371133063,-0.1688683648346213,0.18418195729241782,-0.916856174823445,0.35938599786739833,-0.1027417348920431,0.17933349928905137,-0.5729087722001288,0.5668043355653523,0.007466274788400028,0.16883888485479953,0.04422129887212286,0.9647347133101127,-0.18248576716876586,0.3361778531774985,-0.5428250714434042,0.5873421676517041,-0.8532719437153392,0.33066246582128755,-2.5804922902150778,0.009973476184480091,1.003194597020046,0.46952972850160624,2.136594418039313,0.032814990508330165,-0.6489660706035321,0.8013031385861394,-0.8098883423177416,0.41815076810926355,0.11965991384644073,0.6426138794728519,0.1862081067165869,0.8523102650912308,-0.6810222156244389,0.9633674878711076,-0.7069184129613841,0.4797423301058362,0.037666992294010285,0.30181900353377056,0.1247999358986543,0.9007009983103246
LEND,2730,2730,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01128222941996504,0.007897497607405102,17792.007735134866,17850.7892884999,-8886.003867567433,2.155277272011333,0.02236089123723832,1.9950092400911015,0.11005466293004791,0.13737901136272712,0.801102452538884,0.4231447294562237,-0.46230083137408395,0.3310218048016345,-1.3965872479340709,0.16265561548006424,0.030307105322621805,0.1575225257940372,0.1923985485240933,0.8474448892398517,-0.4509213260779131,0.28448538423198666,-1.5850421535547303,0.11307702605700345,-0.29160761670783664,0.24004089413346272,-1.2148247395950076,0.2245420388855468,0.3792289857043356,0.29424308680027716,1.2888288721690313,0.19757098277676194,0.8109988601646339,0.40090207817392676,2.0229350365522207,0.043180874634716995,-0.24957108776984327,0.4477651984368482,-0.5573704446908735,0.577321804551062,0.910758709508285,0.3062036461425193,2.9743561873994855,0.002962755439265154,-0.14452052048699549,0.2644853573514957,-0.546421631557208,0.5848225125791933
LINK,2801,2801,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005998384366393883,0.002595564077043422,16992.01490021396,17050.79645357899,-8486.00745010698,1.4388595924031822,0.16556350913164472,2.0000277981480457,0.14007629892085893,0.1194893202861861,1.17229136951625,0.24118631191932324,-0.4091663299894799,0.21234992647679748,-1.926849407382242,0.05410605903036308,0.03492439571163061,0.1452080151761553,0.2405128647290096,0.8099514441762309,0.08967815038465461,0.28672303932295784,0.3127692514574782,0.7544807853654688,-0.021755585525154664,0.16079483034502748,-0.1353002797320806,0.8923848217891678,0.17882385827062267,0.33296938061782877,0.5370579659271156,0.5912730225082146,0.3590385236780569,0.29572837607886704,1.2140820858607961,0.22482542810094228,-0.0749869870641417,0.346608499937129,-0.21634491675115733,0.8287356843180321,0.40729848448699946,0.24776150570125344,1.6439135019550333,0.1003136380217691,-0.25248746207796413,0.23039391142500643,-1.0958946810543178,0.27322524568244777
LOOM,2585,2585,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.002511980062473995,-0.0010182567363610229,17312.275756451847,17370.72600062426,-8646.137878225923,0.7643088047398965,0.6497217602152199,2.008854440951767,-0.12585271518735136,0.14262791091783233,-0.8823849019274697,0.3776520964642688,-0.12894658458743888,0.20618133478383527,-0.6254037724735322,0.5317622044213963,-0.042245578320728366,0.16986507814572893,-0.24870078524607317,0.8036123240565924,-0.20952913342520646,0.3211108216924693,-0.6525134603712434,0.5141289700301273,-0.056075315506780354,0.1641204432519191,-0.34167172837028426,0.732626181210672,0.08402124548437309,0.3243578252081582,0.25903874966004614,0.7956263084521688,0.4492231242553369,0.3445641958838789,1.3037429008054249,0.19243926403993789,0.14010901386508046,0.395573065694685,0.35419250200725433,0.7232239877155751,0.2413319643036579,0.28919932084933114,0.8344831640506809,0.40408715328249534,0.019329700920457896,0.276092359931458,0.07001171972037415,0.944189836349064
LPT,2354,2354,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006977659445833617,0.003112088050942874,16157.521187376755,16215.023028999332,-8068.760593688377,2.5013448835513103,0.007592283324515051,2.017720090135024,-0.01811818003279865,0.16289555332457423,-0.1112257496476754,0.9114469874948444,-0.29422324798577615,0.11559000052508998,-2.5454039851994983,0.010979568140272013,0.1651939818116287,0.14789192159085807,1.1169912462739964,0.2641141318046345,-1.023156659006716,0.47797550635522806,-2.140604791255377,0.0324102464291847,-0.09455060099177331,0.17097584036245927,-0.553005622264124,0.5803130248692547,1.0016377730801342,0.5279408879238722,1.8972536433369942,0.057918963280562945,0.6259325728959144,0.4452384998616586,1.405836586661755,0.15990702601240786,-0.017471978648618547,0.4914089150126348,-0.035554867066604434,0.971640365728981,0.41680476213892,0.36329943727047037,1.1472761016929838,0.25138623457724235,0.05633109264820463,0.26679345310641234,0.21114121052189613,0.8327956917911746
LTC,3803,3803,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004342853687718917,0.0009343659293277184,15858.692878493684,15917.474431858718,-7919.346439246842,0.9725108427731802,0.46069399139373013,1.9848024986347848,-0.07540314726161217,0.12725557183113548,-0.5925331690911735,0.5535445753643524,-0.30557709459285076,0.16586768591620338,-1.8422943137171925,0.06554465736973963,-0.054447806393431275,0.10023680348285947,-0.54319176691166,0.5870438250846441,0.12590613077197355,0.17223313184915767,0.731021548642816,0.46483113607070214,-0.0632289183228498,0.11982929756256072,-0.5276582572791859,0.5977810783585863,-0.01498615669973772,0.12822318412913913,-0.11687556194708526,0.9069675914142041,0.3360286667369457,0.21397944228415816,1.5703782716225136,0.11644747257931624,0.21727233711256794,0.37171098526872837,0.5845195480448094,0.558920972276214,0.2549539960057601,0.21322602599225204,1.1956982963000224,0.23192215253982718,-0.16398601960053527,0.23960637644285201,-0.684397560845578,0.4937844811630343
MAID,3675,3675,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.04109247923257464,0.037682693500884934,18328.338144958798,18386.741274792,-9154.169072479399,1.6511316127685143,0.09550591456490261,2.0273231594651437,-0.1099640098024004,0.1816811065827174,-0.6052583665453127,0.5450616034142548,-2.6719896528836458,1.146962473878228,-2.329622558486014,0.01990439276159597,-0.22692860358087819,0.1552465182355119,-1.4617307116454825,0.14393915897912463,-0.6439975612965974,0.5175983214760169,-1.2442033418117202,0.21353994326736206,-0.29819901692211126,0.20301144474866745,-1.4688778619909242,0.14199019325294737,0.7212481275890947,0.4999618267786912,1.4426063930443958,0.14925511762546437,0.486247907562499,0.27161008730298325,1.7902424478811259,0.07353443228819867,-0.003980411916717247,0.5499565960425334,-0.007237683746972285,0.9942257846974276,0.5791261785488597,0.41957998249369544,1.3802521633823692,0.16763091093760607,-0.17811154828890388,0.3127524530684801,-0.56949688656768,0.5690695211614005
MANA,2836,2836,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003764909246844028,0.00035444297952624826,17489.96293136584,17548.744484730873,-8734.98146568292,1.160876740815019,0.3159722362295972,1.9986837626572693,0.026255426847436772,0.1285152423364774,0.20429815460095432,0.8381363254703784,-0.12870173534216864,0.4547997430199801,-0.28298550585705706,0.7772102268788965,-0.023243510958141426,0.15191424578131457,-0.15300415598680064,0.8784067397695797,-0.1461213360328508,0.40727400397520686,-0.35877894146601624,0.7197892765866096,-0.05826656515411796,0.1911326205387142,-0.3048488792226651,0.7605053824430019,0.3273817867681758,0.39494656387502214,0.8289267883636362,0.40722108642717514,0.38835586509444925,0.3430449678824934,1.1320844246503468,0.2577021870126264,0.09933228390622989,0.385343321241646,0.25777606210005993,0.7965999153177368,-0.007772797358006289,0.29937400418988463,-0.025963501336863634,0.9792884208528159,0.19067819497911462,0.32725639704810905,0.5826568913520231,0.5601742670621288
MKR,2713,2713,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014903487275503946,0.011531152313723703,16703.426554563106,16762.208107928138,-8341.713277281553,1.8381216398798261,0.05690785590417055,2.0004373249935075,-0.024312826381243775,0.11139816882931435,-0.2182515802256695,0.827250037537776,-1.8986655213276784,0.6737413401282751,-2.8180926540238533,0.0048671059279507675,0.09714739053544105,0.11469304044977063,0.8470207970289738,0.39706062678877985,0.012010296642264023,0.1883136155534741,0.06377816392598305,0.9491517141621426,0.16748939160403395,0.12806030494348966,1.3078946803847102,0.19102338326810672,0.016579180078319558,0.19162706956017908,0.08651794402728152,0.9310612808098016,0.6209198380937482,0.28000805598333356,2.2175070496211227,0.026673669836933638,0.38174702009571626,0.36933771902713763,1.0335987916459375,0.3014188325018671,0.32521963734818793,0.23246631406498572,1.3989968338263112,0.161931895860391,-0.27815190663069916,0.20364623368720855,-1.3658583397026038,0.1721002628396356
